original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
0.849451026,0.424068727,12.39950688,29.23938056,31.25699922,29.15475947,32.75667871,32.83291032,6463.583333,24.8374218,0.805613403,2082.922014,0.322254995,6489,630,4098.4,37727985536,7.448553075,1768,3.812720151,8142,1099.651629,1978.727693,1530,74,8068,755.7972702,2411.253779,1.168976945,37727985536,0.007259651,1898781.506,9127.647072,385211575.9,1147679.49,10692.23557,1730.143777,0.722136329,30.96427924,6.321900302,728.2231124,0.088238674,0.038023311,0.984548311,0.917849292,-0.293275632,0.993813599,0.040101909,82.97260478,0.000163924,12.82311136,0.749556098,0.000780589,165.9452096,8.345245466,3105.594837,8.308831642,3969.452458,0.611720212,0.284393274,47.10787487,3038.678679,9071.220681,1.936662043,14952.17121,0.001965885,0.001109045,0.808599168,7781.373083,0.000927518,46.40819581,0.007231179,3045.990657,9100.14719,1.033685774,9316.724984,0.00114233,0.001111021,7.520704141,6279.029013,0.978349254,0.989022843,0.011311935,0.991759414,9046.461219,0.00110333,38.53884622,0.006883166,3139.606926,9474.675121,1.554027505,12862.99143,0.001639071,0.001137115,4308.838543,0.769572878,0.899475426,8767.506612,0.001039574,8.085680057,0.862844814,0.210846278,0.049703775,0.00139714,679444.6086,1.474011407,62.99463383
0.926144547,0.461721757,15.25019137,33.02896419,37.05401463,33.37663854,37.69615365,37.90778284,10979.375,30.58959506,0.808645169,2954.231607,0.269071018,11010,847.8,7830.2,2.17593E+11,8.351999424,3614,3.75133169,15818,2220.875139,3483.544051,2522,82,15736,1550.594916,4445.586731,1.183286425,2.17593E+11,0.003979868,7628162.23,31674.19213,7076767229,10366414.88,46160.23975,3858.758465,0.846028971,44.81499908,6.864699661,1753.568694,0.072097696,0.029795202,0.990693972,0.937062855,-0.363418826,0.998890203,0.031295594,145.2300376,8.25556E-05,13.77671478,0.859938456,0.000416451,290.4600752,9.320879246,12504.74955,9.079390905,7404.944233,0.672565325,0.245735451,43.81834696,12204.42883,30935.37184,1.757674841,43424.26176,0.001222809,0.000722534,0.847404355,28145.09676,0.000626709,43.25263738,0.003963488,12228.42697,31057.36556,1.026951205,31522.84448,0.000740699,0.000723212,8.41197886,10722.28838,0.98253039,0.991168867,0.00902829,0.993372251,30943.1306,0.000718946,36.99449485,0.003771485,12506.99876,32563.00428,1.429503517,39527.31818,0.00101378,0.000733333,8019.661637,0.81758198,0.92265525,31070.44937,0.000685817,8.875059674,0.890917348,0.169635158,0.020129625,0.001170679,3144589.948,2.161299594,207.0007231
0.813556096,0.359760988,12.48002768,34.68977485,38.05259518,31.25699922,38.89730068,39.06404997,8777.166667,28.22207779,0.77533073,2653.994533,0.302374859,8806,554,4048,48217887636,7.42151007,1792,3.624862398,8590,1103.397365,1896.436293,1438,106,8484,771.4851949,2339.994032,1.129180229,48217887636,0.007401268,1879101.454,8241.072106,364639594.6,1090930.784,10730.7133,1574.798255,0.744635304,29.4249401,6.25404273,668.3216781,0.092422161,0.040504602,0.987102584,0.924720478,-0.259279095,0.989394589,0.042658772,77.13188287,0.00015036,13.03360645,0.762927395,0.000777362,154.2637657,8.356276204,3076.37789,8.333336716,5300.218487,0.601887178,0.340188583,65.17556212,3006.835149,8244.74154,2.048603225,12967.2546,0.005360419,0.002228536,0.802948936,7249.675654,0.001597558,64.08366872,0.007364198,3016.15158,8286.653931,1.036319297,8458.073612,0.002334786,0.002218095,7.50341841,8499.999668,0.976740598,0.988189871,0.012198273,0.991132715,8244.318626,0.002191846,52.40108652,0.0069433,3128.982929,8806.955877,1.61733139,11525.9099,0.003949211,0.002072236,5802.233868,0.768813286,0.898852631,8266.439141,0.001739292,8.094158629,0.857029298,0.255859552,0.079131179,0.001072781,596777.756,1.470459943,46.12160899
0.796956943,0.347416607,9.950371279,28.64103525,29.15475947,27.29468813,31.78049716,31.84336666,4605,22.82567189,0.761660383,1757.421145,0.381633256,4629,478,2809.6,14236093544,7.013502378,1286,3.628370009,5834,750.1320434,1487.465111,1266,94,5740,536.4709764,1753.685964,0.957778244,14236093544,0.009169138,862862.0047,4635.325553,62056586.09,222614.6198,4541.024421,1058.903654,0.62273675,24.63788027,5.999488215,434.202563,0.102205824,0.04667347,0.981538678,0.909313343,-0.262294577,0.987534852,0.04854093,61.34262743,0.0002347,12.28256152,0.663811672,0.001058247,122.6852549,7.90283685,1399.982019,7.999297703,2602.484986,0.562213218,0.394563265,42.44394038,1380.860445,4631.535321,2.235688054,8822.731692,0.007575951,0.002573708,0.775273337,3857.583679,0.00189373,41.74329952,0.009143271,1384.795393,4648.806497,1.042221342,4792.53332,0.002711686,0.002559342,7.100108696,4441.961105,0.972908897,0.986273826,0.014128057,0.989661217,4613.911887,0.002522107,34.12823164,0.008823224,1437.374158,4873.431231,1.743795243,7311.285677,0.005010707,0.00247137,2858.523268,0.739018425,0.88350094,4462.927082,0.002153747,7.71893289,0.835601642,0.311602626,0.069385109,0.001813905,254954.3642,1.155514636,34.09180216
0.759712208,0.325320832,10.69928355,32.88840587,32.55764119,30.2654919,36.05551275,37.92097045,6142.25,24.98572343,0.735430634,2205.434009,0.35905963,6170,627.8,4412,40021760052,7.511622347,1845.5,3.908882588,8198,1188.351536,2057.085575,1549,66,8132,806.2087034,2546.862565,1.234807637,40021760052,0.007056364,2254907.858,10256.82845,555127618.1,1553272.192,12981.17363,2030.663706,0.730735477,32.84791546,6.407267641,899.1019114,0.087609801,0.038565306,0.98242397,0.914434941,-0.315503427,0.995811273,0.040093822,86.68731717,0.000165614,12.79138886,0.76214035,0.000726328,173.3746343,8.444558078,3752.959335,8.377361243,3757.646353,0.609018858,0.328701276,43.53776337,3607.996068,10137.13371,2.014910859,15882.99595,0.001990728,0.001029161,0.807801279,8944.316452,0.000844133,42.82075056,0.00702074,3619.569534,10186.31224,1.035145338,10393.74717,0.001063765,0.001030014,7.588062191,5960.773518,0.977282408,0.988517641,0.01173284,0.991354014,10135.15264,0.001021797,35.1123045,0.006616225,3757.973034,10798.15376,1.596382137,14192.66007,0.00160518,0.001040752,4113.12361,0.775037424,0.901847126,10164.42207,0.000945523,8.151854155,0.86012966,0.244707537,0.047513132,0.00142838,782381.8517,1.654237951,75.477955
0.800935311,0.321041134,9.749585334,30.36864849,32.14031736,27.16615541,33.24154028,33.67491648,5174.833333,24.32332291,0.751743774,1924.620891,0.371919397,5200,492,2282,11265905372,6.681977699,928.5,3.896900245,4818,566.3762365,1285.155,1130,110,4708,390.1532966,1471.910413,1.004966619,11265905372,0.011524038,514896.8898,3042.399319,23757796.59,116393.3901,2613.782655,766.9857555,0.547611025,21.18666092,5.782901466,306.0465218,0.11086792,0.051135031,0.980055817,0.90512609,-0.19574017,0.962735625,0.054306288,50.79128831,0.000269692,12.13462881,0.588720386,0.001156403,101.5825766,7.529521048,845.1921027,7.726897389,2819.490385,0.542209689,0.394459172,59.925,823.3562559,3120.512115,2.294615385,6350.678269,0.005153518,0.002606821,0.759910577,2501.185714,0.002153084,58.89125661,0.011492472,825.2846236,3129.153515,1.04496376,3242.583966,0.002704062,0.002616806,6.777721631,4978.102202,0.971382814,0.985443787,0.015063097,0.989043916,3101.154071,0.002595733,47.63636364,0.011104047,851.4394921,3239.709557,1.767365967,5165.896737,0.004211227,0.00275923,3085.594406,0.719252775,0.873067241,2907.939576,0.002520837,7.453064561,0.825,0.298128134,0.117105691,0.001412322,159324.5262,0.936845354,17.31565321
0.718673057,0.268129475,8.823560449,32.90783468,31.06444913,30.01666204,36.23534186,36.23534186,4857.083333,23.64997415,0.707138921,1961.386069,0.403819728,4882,490,2354,11349534824,6.761090025,1008,3.333146004,4688,590.5262385,1337.688652,1206,54,4634,421.6900744,1524.720163,0.776532163,11349534824,0.010591038,535360.6437,3462.246633,20161917.03,81111.09023,2648.251114,775.5949047,0.547105634,21.43679325,5.795844284,304.6233411,0.108647517,0.049564717,0.979207227,0.902693804,-0.208158157,0.969347766,0.052033517,54.71087951,0.000259971,12.14978925,0.584417914,0.001073208,109.421759,7.586012305,855.9615047,7.786402025,2684.895535,0.549958119,0.386688151,51.70544859,856.6277665,3564.03728,2.258910283,7040.069234,0.004654243,0.00228298,0.765273681,2876.287673,0.00182537,50.84240599,0.010563893,859.5369081,3574.526472,1.043618285,3697.805914,0.002375955,0.002288217,6.85381919,4678.709279,0.97207176,0.985834935,0.014578717,0.989327836,3544.140377,0.002268964,41.43916914,0.010247074,898.093228,3703.372404,1.756181998,5812.884273,0.003787276,0.002354535,2933.76459,0.725461076,0.87637522,3331.656357,0.002109326,7.513637618,0.828349037,0.298800484,0.097991045,0.00158109,151279.3917,0.996653596,17.21855289
0.830603161,0.320020032,9.962874338,31.13203347,28.28427125,33.06055051,34.20526275,34.21987726,5727.666667,25.8583654,0.753398431,2054.839488,0.358756822,5754,799.2,4995.4,54055644384,7.793510987,2461,2.74741263,8472,1342.755582,2606.518596,2221,138,8334,1003.052883,3065.036112,0.726756277,54055644384,0.005200596,2600507.175,14407.59393,511454314.8,988980.9268,14492.41754,2246.579085,0.732209773,36.1746453,6.527689445,884.6901069,0.076413882,0.031460814,0.981203705,0.907950257,-0.350422447,0.997935484,0.033506228,106.4946572,0.00014115,12.92865596,0.757243745,0.000604823,212.9893143,8.692901919,4184.749157,8.509194329,3837.173792,0.666870663,0.232710642,29.92422662,4160.180447,14115.04553,1.742440042,22046.45047,0.001589764,0.000975083,0.843622697,12337.51709,0.00084692,29.58985937,0.005188115,4161.779273,14142.66786,1.026811169,14436.57813,0.00099855,0.000976456,7.848134528,5604.043599,0.982565877,0.991203444,0.008957711,0.993387261,14069.53718,0.00097106,25.8515625,0.005049133,4180.561474,14476.31016,1.42421875,18982.32461,0.001346521,0.000994647,4137.557031,0.808116608,0.918562904,13527.26439,0.00092762,8.294115423,0.88981578,0.161229095,0.029233314,0.001848159,761955.7748,1.951023156,72.1509167
0.95646453,0.453049467,11.64672952,25.70741246,27.29468813,29.06888371,28.86173938,29.563491,5251.5,24.58822819,0.800618046,1824.936103,0.347507589,5276,651,3941,30996183480,7.467458171,1882.5,2.895852372,7238,1038.71359,2072.686884,1794,84,7154,767.5355381,2423.827553,0.744789829,30996183480,0.006488319,1578909.088,9153.329753,185937405.2,454239.9847,8539.471695,1555.307854,0.691868796,30.07770695,6.271773347,619.680037,0.086843297,0.036968311,0.982325799,0.910517423,-0.308246078,0.995069934,0.038987185,86.04861247,0.000168328,12.70266413,0.719500274,0.000706233,172.0972249,8.353428779,2523.694887,8.302686586,3292.759287,0.624101457,0.285100942,34.23237301,2526.0584,8993.223844,1.913191812,15160.43006,0.001988178,0.001244895,0.817408232,7700.434997,0.001106141,33.79256656,0.006473653,2531.143662,9015.725314,1.032454512,9239.542488,0.001275561,0.001249753,7.534229319,5110.508061,0.97900256,0.989385898,0.010848676,0.992017596,8960.646082,0.001243453,28.88445607,0.006297026,2592.117257,9285.797035,1.521255723,12905.20187,0.001725989,0.001316442,3583.716808,0.781276828,0.905192573,8605.077789,0.001246457,8.058759143,0.869408643,0.198279334,0.040698154,0.001851835,469281.8985,1.527279251,50.65679963
0.719305352,0.339273265,10.77077586,31.74660951,26.30589288,34.13209633,35.73513677,35.79106034,5645,22.83550612,0.776019856,1975.698127,0.349990811,5671,544,2806,17208983440,6.956451113,1156,3.883146431,5418,714.4172153,1490.137895,1266,122,5296,494.7754371,1741.998532,1.079352976,17208983440,0.009721538,814047.9408,4431.639895,64819380.5,269135.2363,4372.746004,947.4179846,0.644708251,23.42458567,5.930874777,382.3881864,0.104562125,0.04776938,0.980608461,0.906781151,-0.230944253,0.979926047,0.049115551,59.78196287,0.000223078,12.3988722,0.674770762,0.000968125,119.5639257,7.835343181,1330.040997,7.985539104,3093.464116,0.545488294,0.395694298,55.13084112,1302.211885,4452.368542,2.287956269,8747.895609,0.00384135,0.002165333,0.7627406,3627.938997,0.001831774,54.12554559,0.009684164,1306.706469,4467.927812,1.044703447,4618.875968,0.002237727,0.002177353,7.051454792,5431.089553,0.971692384,0.985554033,0.015105358,0.989178372,4431.045016,0.002162794,43.28284555,0.009246496,1361.695661,4666.385815,1.791711173,7322.89639,0.003357524,0.002333765,3396.01474,0.725489156,0.876265157,4227.754733,0.002152002,7.718680614,0.825427614,0.323995228,0.082656905,0.001482543,255036.1025,1.023062273,29.48975597
