original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
0.475453196,0.230052282,11.99071937,52.12171458,43.17406629,32.984845,54.40588203,56.08029957,11039.625,24.78143576,0.695185818,3448.943671,0.31241493,11074,768.6,12007.4,4.6257E+11,8.647924271,5663,3.199299781,15758,3518.440352,4805.840708,3089,118,15640,2479.051627,6463.035354,1.120716385,4.6257E+11,0.004017223,18674721.08,65185.40134,36627140488,36680174.94,112844.7031,12029.01847,0.809047037,71.05342861,7.431474309,6339.370404,0.078083844,0.041728421,0.974214128,0.908849573,-0.420235951,0.999657695,0.027947289,199.9054883,0.000365239,13.73076045,0.841214044,0.015503854,399.8109767,9.740510859,31218.43038,9.392475662,7289.847932,0.658284986,4.818436232,44.48672566,29883.89311,65513.81344,7.2640419,2284959.654,0.003790104,0.001430644,0.8371278,49340.97422,0.001007132,36.85120464,0.003399624,27546.44681,61085.95667,1.117552295,98620.6606,0.001519185,0.001435596,8.772722459,10507.2693,0.969825222,0.978313722,0.0724059,0.988137183,58551.50833,0.001416259,28.01311577,0.00289302,24449.64747,57393.94062,15.57719715,5653372.471,0.002740624,0.001269206,8114.902096,0.838056604,0.932190709,55551.98315,0.001067509,9.194773315,0.874390464,14.26925308,0.029618504,0.000466995,7350686.839,6.122853685,220.5566632
0.53007447,0.259679867,11.77960382,45.36202191,48.66210024,26.68332813,45.54119015,49.83974318,9159.416667,24.04524971,0.711777117,2974.303713,0.324726325,9192,826,7291.8,1.57975E+11,8.124136447,2828,5.38227559,15572,2086.94449,3103.607267,2026,126,15446,1290.031654,4145.617033,1.659899216,1.57975E+11,0.005162424,7553762.512,26277.75052,10434575633,15379251.48,46293.18716,4592.184767,0.820869291,44.51328573,6.811524035,2464.427128,0.080570557,0.034692838,0.988885687,0.937617364,-0.36794561,0.998766687,0.035773344,125.8921638,0.00011552,13.35185817,0.849074168,0.00057368,251.7843277,9.054687718,12721.34298,8.919672354,5819.222802,0.633074717,0.303947278,47.45300261,12085.82805,26404.76752,1.922976501,38397.84323,0.001645954,0.000867103,0.823299608,23730.61483,0.000713498,46.66123583,0.005129996,12123.65584,26537.27676,1.032165639,26982.41422,0.000894856,0.000867168,8.195759572,8908.372761,0.979357404,0.989522662,0.010798355,0.992138191,26427.03413,0.000860397,38.23965087,0.004768036,12546.71038,28127.44626,1.523441397,35158.95823,0.001312613,0.000867237,6345.279302,0.791181958,0.909888136,26676.93192,0.000788396,8.727364339,0.872497824,0.20981673,0.023286293,0.001041626,4246824.266,2.43594704,247.2077166
0.529592936,0.321866573,11.29167594,35.08185347,38.11823711,22.36067977,38.47076812,38.48376281,5177.083333,18.57910179,0.751597059,1925.554533,0.371938099,5203,1938.4,10910,2.26415E+11,8.791456388,4386,3.41294588,15758,2766.355417,5600.229099,4690,262,15496,1883.667263,6596.679184,1.010897276,2.26415E+11,0.002731426,12153610.3,68928.98962,16748354584,17593797.24,73412.01072,6488.110503,0.837997827,59.55934207,7.189422557,2657.864456,0.057145454,0.02281225,0.984277494,0.917736249,-0.526155624,0.999953692,0.02207041,228.4242977,0.000128826,13.01388893,0.858160583,0.001489707,456.8485953,9.690505317,19975.0303,9.299566734,3817.40246,0.733692574,0.378419893,14.21160869,19444.95693,65466.87469,1.817220834,197648.8024,0.000524096,0.000373351,0.881050917,58190.13002,0.000345526,14.03797706,0.002718889,19272.0961,65179.86425,1.025542151,68390.23813,0.00037986,0.000374534,8.82989793,5089.386696,0.98569841,0.992326912,0.009960206,0.994537438,64702.40898,0.00037331,12.64775116,0.002658207,18771.39779,65254.41341,1.518915511,165599.7102,0.000473257,0.000385773,4094.321143,0.860513061,0.942454247,62633.89772,0.000372777,9.130146753,0.91447242,0.323114885,0.004197364,0.002757273,4260991.998,3.043038458,484.7520623
0.497458719,0.234431876,9.169164043,39.11227524,29.42787794,26.47640459,43.26661531,43.31281566,4958.666667,19.45674234,0.689919879,2038.271706,0.411052374,4987,876,7958,1.12133E+11,8.355452805,3687,4.81841778,15758,2346.618873,3663.943453,2620,162,15596,1576.427948,4741.845031,1.431631595,1.12133E+11,0.00402824,9060612.675,33912.7027,12258714264,15859211.41,52619.91537,6818.701523,0.772050017,55.53079553,7.082053629,3421.86552,0.064761194,0.026617153,0.984555827,0.924577678,-0.475045674,0.999830379,0.026732509,149.8239046,0.000147526,12.83245409,0.900214599,0.000626584,299.6478092,9.248084308,14859.65422,8.975307486,3453.898737,0.692580457,0.26969668,20.08883096,14497.53496,34398.95368,1.748746742,75488.02126,0.002738568,0.001141695,0.858845217,31039.97159,0.000755417,19.85007729,0.004013682,14450.6773,34395.72224,1.025406185,35310.26536,0.001192375,0.001130783,8.403419002,4864.412643,0.983553781,0.991686076,0.008500813,0.99375298,34187.85016,0.00111542,17.19531773,0.003833962,14564.78687,35483.68473,1.398216276,50362.61717,0.001869224,0.000979956,3726.166109,0.830806267,0.928878608,33993.23168,0.000768228,8.8004436,0.89933828,0.161830951,0.01125539,0.001898762,4552862.902,3.318936804,391.8699768
0.439256272,0.207937644,9.307990606,44.7633744,28.63564213,31.40063694,47.80167361,47.81213235,5774.125,19.66259295,0.666414238,2335.593789,0.404493112,5804,458,2576,14441441568,6.787635812,980,6.088868188,6684,677.279124,1294.649897,1022,116,6568,428.4006468,1577.399039,1.616587501,14441441568,0.011738025,812069.3723,3403.272232,98757143.29,406845.7579,4388.74612,976.8720873,0.637776851,21.58237773,5.820042823,484.0748119,0.124671799,0.061915798,0.987096838,0.929470087,-0.232409588,0.978280869,0.065458,50.49040408,0.00030598,12.07819181,0.687160266,0.001320087,100.9808082,7.706014172,1341.404552,7.94983266,2842.245693,0.489704633,0.498543389,68.12749828,1299.29255,3632.229152,2.642315644,6549.225362,0.01000788,0.003052023,0.716983211,3040.992776,0.002012952,66.47212178,0.011660874,1307.961458,3663.668929,1.05537504,3768.805648,0.003254016,0.00303575,6.906778882,5501.163853,0.964967842,0.982147591,0.018549982,0.986548695,3637.877579,0.002982627,49.04812951,0.010730284,1416.38782,4072.954715,2.052067381,5952.724568,0.0073355,0.002841311,3102.003282,0.678626839,0.85035117,3733.390774,0.002330039,7.714987403,0.787560303,0.439817458,0.08400296,0.001423608,291840.7314,0.806161982,47.48026298
0.581360459,0.310861199,12.08204371,38.86636137,27.89265136,41.30375286,41.78516483,43.96589587,7450.25,22.59536568,0.737725005,2500.557534,0.335634044,7480,765.8,15326.2,3.23735E+11,7.758559701,4330.5,3.622821507,15758,3842.037616,4399.820053,2045,226,15532,2466.673782,6578.764123,1.440281167,3.23735E+11,0.01389949,23921720.89,64598.59768,71636103100,74053699.38,145646.1906,11131.90019,0.858826621,58.98844284,6.982520129,7194.65581,0.14374101,0.102717157,0.976885047,0.925106906,-0.407383274,0.999086382,0.034617515,175.9427844,0.005168479,12.41814465,0.885947568,0.070115313,351.8855689,8.882590524,39194.5227,8.850301738,3899.647594,0.521343261,27.55305413,103.9681818,38289.76906,66355.06658,35.8302139,13227017.2,0.003325788,0.001513339,0.747363563,28186.90413,0.001187759,46.72261985,0.006720039,26156.60437,45182.39221,1.471046825,215644.7949,0.001675351,0.001610227,8.15529732,6455.522553,0.93029253,0.927807487,0.308323469,0.970125209,36477.71794,0.001594423,30.37317982,0.005142767,19518.83306,36018.37911,88.8161192,33809672.59,0.002969917,0.001614363,4709.605147,0.797427218,0.912594794,35205.23491,0.0014354,8.698248776,0.789572193,87.21207508,0.04422849,0.000207648,7139135.12,7.308275506,419.9718991
0.565050205,0.208234314,9.506148641,45.65121109,50.03998401,29.61418579,50.48762225,51.25426811,8050.083333,25.79522617,0.659466069,2945.497014,0.365896462,8083,658,3021.6,29388670660,7.037460042,1293,2.827774778,5742,731.7671184,1685.663491,1518,140,5602,535.4668015,1906.793583,0.686765447,29388670660,0.00868389,794400.3608,5250.230965,43229493.86,135020.5015,4185.048238,928.2895954,0.63711496,23.37390845,5.916037896,362.1640353,0.103471634,0.046737362,0.982775051,0.911063428,-0.196388517,0.967429318,0.048819953,66.58599484,0.000175893,12.74825581,0.662619078,0.000704728,133.1719897,7.909516417,1278.334458,8.070473328,4496.280713,0.556263852,0.355536136,70.1918842,1270.899551,5233.339602,2.190399604,10166.60695,0.002528767,0.001255997,0.769406539,4221.678654,0.001013778,69.09272117,0.008666073,1273.456571,5247.041356,1.041737093,5423.88269,0.001303025,0.001258649,7.130119287,7757.12169,0.972898413,0.986362641,0.013807689,0.989662658,5203.072862,0.001247625,57.0296824,0.008463889,1304.635985,5408.998813,1.706292668,8409.456812,0.002069468,0.00129486,4891.973583,0.726027543,0.876913731,4857.27513,0.001168091,7.787407301,0.833601386,0.26721861,0.103785054,0.00114436,204337.0117,1.072923284,16.20706073
0.449699288,0.230736241,9.533415838,41.31737525,26.47640459,32.14031736,44.40720662,44.66542287,5052.666667,18.58039421,0.655470532,2172.424629,0.429956055,5080,434,2342,11186846996,6.742269448,982,5.086559121,5784,611.9697976,1257.572047,1070,118,5666,418.2243833,1483.959311,1.275382124,11186846996,0.01127976,620647.7814,2963.699809,42081472.69,185673.2084,3183.925871,848.9754532,0.580238395,21.16056637,5.799400619,384.0474073,0.118552672,0.056773714,0.984866271,0.920335137,-0.220371633,0.974089024,0.059945116,48.77648553,0.000286747,12.06793846,0.65506655,0.001220122,97.55297106,7.619399322,1008.225331,7.845442281,2639.540157,0.519594519,0.448019716,57.3011811,993.2387146,3185.727165,2.452362205,6012.744488,0.00987356,0.003268459,0.742516678,2627.385294,0.002164179,56.18649378,0.011239946,997.0938797,3204.376067,1.049491968,3304.640539,0.003478358,0.003249201,6.847059292,4842.302396,0.968641794,0.984009691,0.016633257,0.987987473,3179.648997,0.003198434,44.30301556,0.01077408,1044.78828,3438.215467,1.885214008,5187.646887,0.007051352,0.002993736,2895.464981,0.704150044,0.864678921,3129.495186,0.002439366,7.56759782,0.809448819,0.358979697,0.092264025,0.001534378,222334.7953,0.828519235,32.4037918
0.616634403,0.192261857,7.865576289,40.91074755,44.10215414,29.42787794,44.28317965,44.59820624,5631.5,25.22697438,0.617564574,2478.664851,0.440142919,5661,770,3382,26299380456,7.200577398,1388,3.849959378,6542,834.0808456,1883.983748,1638,166,6376,583.91503,2155.391577,1.025462231,26299380456,0.008181348,1096318.088,6620.002937,113384673.9,371526.861,5853.967702,1362.991596,0.623918021,27.76367867,6.154215151,555.5453058,0.094032075,0.041461186,0.980751733,0.908169463,-0.268470967,0.989621555,0.043280292,74.12124081,0.000194886,12.54873,0.669280723,0.000877763,148.2424816,8.074903345,1804.239825,8.105546262,3388.78661,0.598619786,0.328337939,46.31460873,1754.42379,6637.596714,2.039392334,11366.29977,0.00203797,0.001122629,0.800721997,5663.438147,0.000947183,45.62893906,0.008156836,1759.675958,6661.026807,1.036239563,6830.745229,0.001157467,0.001125508,7.278382802,5462.666832,0.976490561,0.988151047,0.012040063,0.991047854,6619.015196,0.001117591,38.07911589,0.007865961,1822.841032,6955.952283,1.614335881,9733.705639,0.001701207,0.001163318,3708.294361,0.766018253,0.897360765,6433.304422,0.001073075,7.84811342,0.855149267,0.246871117,0.050262981,0.001527686,407951.91,1.098819574,42.07223045
0.487464191,0.244253029,9.040922863,37.01457833,26.68332813,27.45906044,40.45985665,40.47221269,4236.583333,18.04328147,0.68161294,1857.619664,0.438471173,4268,466,4128.4,24722427568,7.385851615,1638,6.061810605,10246,1177.816525,1837.754452,1278,130,10116,745.8231595,2406.763138,1.678587209,24722427568,0.008031479,2415167.377,8006.682394,913480710.9,2286910.416,13577.17256,2182.501812,0.725011354,30.15003517,6.243976341,1188.937941,0.112007487,0.055355524,0.98789807,0.936045472,-0.363740472,0.997727555,0.05597029,71.8041874,0.000265117,12.15144937,0.828004386,0.001174367,143.6083748,8.305881045,3939.918593,8.431372523,2176.946579,0.51006246,0.521908205,34.27835052,3865.045815,8630.508903,2.606373008,13808.14339,0.023269905,0.005503878,0.736883721,7579.595315,0.003418958,33.41924976,0.007966062,3890.171483,8719.041008,1.053044238,8905.110951,0.00597527,0.005432384,7.494113055,4055.390633,0.966601306,0.982932016,0.017872594,0.987180767,8673.012742,0.005316995,24.71102662,0.00722756,4185.345314,9841.317929,2.022228722,13057.17461,0.015623978,0.00478204,2420.190407,0.707864992,0.866339983,9243.108856,0.003893278,8.215609636,0.801077788,0.463930339,0.029484994,0.002423127,771599.5388,1.511955319,165.180477
