original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
0.835311159,0.374453401,15.45715684,41.27925345,43.18564576,40.44749683,45.48626166,46.27094121,15884.41667,34.48102104,0.784080902,3897.362144,0.245357587,15919,366,2222,29518214652,6.54603617,968,6.820578123,6942,619.1452005,1097.291664,814,158,6784,414.1607783,1361.717917,1.694050008,29518214652,0.014326521,650226.6904,2503.043584,90237710.1,371871.0235,3852.42918,427.3151325,0.800887419,14.63727195,5.303380077,206.2555482,0.157427865,0.085228401,0.994421183,0.951177983,-0.171938998,0.943742307,0.088522826,40.57435884,0.000391087,12.09571621,0.818086186,0.001528112,81.14871767,7.524826783,1069.936078,8.067208657,6138.625228,0.385616259,0.826113327,228.0638859,1040.446053,2515.934418,3.737232238,5869.087129,0.02573426,0.005680941,0.614253029,1921.24644,0.003235712,219.3031584,0.014160573,1050.063923,2548.40304,1.085841011,2663.614441,0.006245303,0.005647775,6.730685885,14673.72139,0.947411148,0.972838456,0.029042341,0.979586604,2520.4021,0.005509782,134.9565414,0.012218791,1172.885158,2989.273155,3.185061114,5461.723676,0.021587657,0.005320635,6496.740154,0.588206442,0.795489735,2625.547166,0.004117884,7.866411744,0.693824989,1.10775679,0.192400473,0.000651295,251701.5363,0.38830914,33.36141587
0.880719896,0.288549976,11.56161103,40.0679674,42.19004622,40.31128874,43.08131846,44.19275959,11739.58333,35.28865607,0.720499133,3466.988895,0.295324697,11773,370,1086,6760522520,5.449873039,376,4.163005541,2386,226.7266042,700.8697868,658,110,2276,157.6309054,757.7859693,0.915050972,6760522520,0.026669978,83021.11725,708.6831499,543212.6083,5571.94068,388.5360946,146.2670334,0.453535712,9.252611999,4.63842133,59.3331497,0.193254309,0.109987416,0.983771426,0.91354474,-0.062743854,0.688107681,0.114611642,25.45626148,0.000874816,10.5906701,0.48049257,0.002346502,50.91252295,6.258705334,133.700782,7.20601422,3877.319884,0.329340005,0.989000778,313.9856451,132.9191133,735.9755372,4.571392169,2797.10626,0.016950565,0.003640456,0.537238818,446.9743299,0.001971636,301.4838312,0.02651864,134.2856444,740.9349422,1.109534479,806.0821042,0.004042888,0.003639207,5.672095287,10617.1645,0.933767617,0.965664591,0.036932852,0.9740852,725.403093,0.003544292,178.4295514,0.024479291,154.4805667,812.1015228,4.363149952,2752.877212,0.015858633,0.003671002,3775.744135,0.518005781,0.748070051,645.9252571,0.002762845,6.980867197,0.619128514,1.754364358,0.808493301,0.000597155,20738.4262,0.26542867,2.251826469
0.867163323,0.258424926,10.35189739,40.05765824,43.10452412,37.33630941,44.14748011,44.15880433,10388.45833,34.73653202,0.689442635,3339.540561,0.321466425,10421,312,952,4436232752,5.247573763,332,4.821060581,2192,204.1501612,597.4232799,546,166,2026,139.8321492,652.4578549,1.150695301,4436232752,0.031263345,68786.67709,422.9602644,476799.6234,5945.989357,327.556786,124.1808945,0.451226881,8.452616052,4.514586989,51.45747152,0.206658499,0.121371279,0.982782851,0.911861354,-0.06282462,0.677496246,0.126790713,19.28730549,0.001158529,10.2401007,0.471497114,0.003209673,38.57461097,6.077558156,112.9344201,7.064555407,3232.021975,0.310145089,1.091991591,325.7953171,110.2786392,449.6004222,5.020535457,1715.409654,0.052421457,0.009538562,0.504092647,274.2808649,0.004611654,311.1622084,0.031030918,111.5642596,454.3098613,1.121630322,494.2542589,0.01076734,0.0095103,5.48795452,9301.688517,0.927459449,0.962228636,0.041244294,0.971497144,444.8554098,0.009220447,171.8431851,0.027982932,130.4640229,524.1255496,4.97687673,1745.858004,0.050180206,0.009271829,2971.646475,0.483902699,0.723248219,417.2626295,0.006549034,6.906336153,0.589290855,2.09722082,1.07181752,0.000650801,16644.30373,0.229750601,2.403955376
0.964651885,0.307503994,11.35076063,36.9125633,39.05124838,39.11521443,40.60788101,40.76763422,10766.66667,35.60777378,0.728245958,3237.876055,0.300731522,10799,354,1074,5904793200,5.436293498,384,4.306357335,2714,228.2395982,680.7545143,632,162,2552,160.053969,739.4530005,0.95634204,5904793200,0.026949615,83364.03113,576.0885567,590464.7265,6259.610385,392.8753259,146.1835994,0.458167599,9.248636244,4.63507309,59.23477431,0.193129579,0.10972411,0.986916568,0.921675098,-0.064788993,0.695821364,0.114135413,22.67824875,0.000892041,10.56566491,0.472942165,0.002522377,45.35649751,6.245990422,134.7647313,7.174654955,3556.02102,0.329291696,0.938820281,291.0288916,133.3775691,606.3303084,4.507732197,2236.014168,0.027433925,0.006887773,0.533609386,368.6393552,0.004066721,279.2886294,0.026778211,134.680826,610.7143329,1.109263375,663.3805871,0.007573555,0.006921517,5.656988532,9742.957216,0.934009329,0.965801677,0.036909008,0.974181719,598.2202785,0.006769241,164.862069,0.024609952,153.4587322,671.8349007,4.183161666,2153.158531,0.025196467,0.00748216,3399.525153,0.507467555,0.740535881,531.5618599,0.005835104,6.978839329,0.620335216,1.584515637,0.860739289,0.000653247,20429.2944,0.269546191,2.522865196
0.837913714,0.28656554,11.21426598,39.13333752,41.19465985,37.12142239,43.0464865,44.46346815,10391.5,32.7903602,0.718155171,3206.648279,0.308583773,10424,332,934,4475014400,5.188050933,314,4.386806937,1990,190.8510542,608.2133538,566,150,1840,132.1886575,655.2092458,1.003454612,4475014400,0.032273194,59375.67205,421.4641682,318537.8164,4192.269953,268.7328934,116.3535666,0.396256428,8.339148184,4.48390506,45.7470689,0.204807932,0.119180689,0.980199131,0.904433402,-0.051451132,0.623728611,0.124795104,19.57788687,0.001202929,10.14772324,0.427797336,0.00318438,39.15577375,5.961488746,96.27161499,6.977165112,3263.805641,0.313104916,1.028115648,336.4157713,95.05689111,450.410495,4.868572525,1760.159344,0.03491213,0.007967393,0.511121048,269.1786989,0.004442805,321.3332022,0.032007744,96.15931333,454.2285643,1.118618611,495.6155887,0.008843809,0.008001334,5.424656561,9329.280328,0.929175826,0.96308814,0.040295105,0.972211635,444.407796,0.007805127,176.9541121,0.028591713,112.8345683,511.5042818,5.0547746,1832.354661,0.035266241,0.00860977,3056.968654,0.493935798,0.730726525,403.9123579,0.006562927,6.824626569,0.593726017,2.217980337,1.231194016,0.000617394,13202.76526,0.247494097,1.596852164
0.893022777,0.281440162,11.18551506,39.74384819,42.04759208,38.47076812,43.56604182,43.57751714,11367,35.49216168,0.713403863,3426.987927,0.301485698,11400,338,1004,5562786164,5.333794619,362,4.047557172,2314,212.1690342,645.464386,606,174,2140,149.7507272,698.5439847,0.884599414,5562786164,0.028664728,71339.42505,497.8092282,376764.5756,4093.336071,323.0546561,135.3438391,0.409805807,8.928646109,4.585528716,54.26349569,0.198574798,0.114873349,0.983214943,0.911962052,-0.055741672,0.648611943,0.118819921,21.23112332,0.000984587,10.40666201,0.425527307,0.00283336,42.46224664,6.12824591,114.5996238,7.129853499,3597.84386,0.315600339,1.024727947,326.7778947,114.2293644,527.8628947,4.828596491,2097.708509,0.033364931,0.007574836,0.514433975,312.7394204,0.004200051,312.8126105,0.028480666,115.5069623,531.8688613,1.117657407,581.3023596,0.008410565,0.007603084,5.566936996,10215.09778,0.929855235,0.963448043,0.039953601,0.972452,520.1444502,0.007415993,178.0335335,0.02607022,134.5150107,591.268707,4.759701274,2110.492166,0.033312883,0.008065438,3376.768927,0.494474876,0.731090654,464.3972973,0.006126302,6.94619148,0.599035088,1.972967525,1.121306337,0.000592896,16211.5107,0.271572289,1.78509295
0.940985083,0.288375767,11.03187239,38.25519906,41.10960958,39.3192065,41.88078318,42.3083916,10901,35.99757168,0.712697705,3335.97656,0.30602482,10934,352,1128,6462162296,5.535003386,411.5,4.085802882,2330,246.0972589,702.6014267,648,164,2166,170.6148095,768.7752545,0.967419998,6462162296,0.025225735,97366.62713,638.3870015,841054.1568,8519.661309,476.0572106,155.4603196,0.508326865,9.561791136,4.682386044,62.46612259,0.190232934,0.108132498,0.981271638,0.907558162,-0.073984899,0.734776339,0.112786675,23.62434395,0.000809207,10.7142324,0.520072411,0.002328971,47.24868791,6.37867083,157.8793825,7.281327694,3643.323212,0.333210464,1.00752738,275.8181818,155.8697723,667.7366014,4.530272544,2347.148893,0.031710491,0.006769176,0.548900083,427.7362909,0.003807476,264.8709895,0.025069615,157.3802382,673.6231234,1.108002678,727.1051859,0.007511943,0.006765793,5.753123023,9881.641168,0.935160365,0.966273163,0.036711306,0.974636294,660.8276594,0.006592798,158.0814427,0.02299032,179.048053,756.745637,4.314426992,2251.118092,0.030292711,0.006878665,3673.36562,0.53423002,0.759365285,618.2625997,0.005346055,7.023312831,0.628864094,1.785790489,0.832146695,0.000653104,22166.16412,0.303710433,2.572062534
0.748302861,0.275517954,11.36839205,41.26189203,38.32753579,38.05259518,45.3431362,45.38722287,10470.70833,30.87639186,0.724550282,3194.476047,0.30508691,10503,358,1029.2,5406752028,5.341811578,344,4.622121768,2458,210.3147018,665.0322765,624,178,2280,145.3809115,717.4828807,0.995949666,5406752028,0.028948997,72513.75531,490.0666955,486073.2166,5448.426403,338.90832,132.6461763,0.438228619,8.863982819,4.572700317,52.836797,0.198017571,0.113930733,0.985186816,0.916588045,-0.060252004,0.672998543,0.117099975,20.93853077,0.000997064,10.40595025,0.473380043,0.002798258,41.87706154,6.142577202,117.8886241,7.150938162,3323.606303,0.316443521,1.060947689,304.0513187,116.148908,520.7474055,4.857564505,2091.235457,0.039850386,0.009652923,0.518764565,307.5971249,0.005495034,291.0093736,0.028756279,117.4440212,524.5100915,1.116873464,573.7733224,0.01067638,0.009709072,5.574944982,9409.678148,0.929667192,0.96351958,0.039424858,0.972409693,512.8602578,0.009487406,166.3444128,0.02632865,135.9436983,578.2076607,4.88113327,2153.183286,0.039321493,0.010474032,3169.470402,0.501657234,0.736386927,454.1173129,0.008004286,6.936089041,0.601542416,2.117582244,0.921775708,0.000644034,19606.65086,0.240924368,2.535285528
0.850844839,0.21888474,8.944200954,40.8626063,43.10452412,38.11823711,44.38468204,45.32107677,8955.583333,34.76773767,0.649084566,3213.010132,0.358771731,8988,362,1370,7469946316,5.878723357,574,4.44004203,3578,327.9818417,814.7456609,737,180,3398,235.9231805,911.6480523,1.01323542,7469946316,0.019726099,167291.6794,877.5583944,2635220.513,20314.32425,846.1485795,218.5472616,0.588911909,11.06645988,4.892197919,93.37764244,0.17605901,0.097177175,0.988936741,0.928958398,-0.110620968,0.84450574,0.101458861,26.84463984,0.000611872,11.13000065,0.625964849,0.002121214,53.68927968,6.728797019,266.1739603,7.477401807,3278.279929,0.364739645,0.871471065,177.2981753,267.7854252,949.6181575,3.985981308,2762.570538,0.036837745,0.009798254,0.58897103,655.3460002,0.005995933,170.889053,0.019589107,269.6362339,958.6173053,1.093434371,1019.42009,0.010673606,0.009818052,6.071327262,8229.493075,0.943229406,0.970584711,0.031667694,0.977893882,944.1045371,0.00961622,108.9071856,0.018114968,294.2736431,1080.762641,3.594145043,2553.504657,0.032869344,0.010138593,3406.87658,0.566679405,0.781414516,906.630493,0.008053508,7.213839127,0.668891856,1.359090203,0.422400378,0.000871289,46193.51761,0.364898632,6.645018382
0.891812393,0.245976305,9.581969781,38.95484884,42.04759208,36.34556369,42.75511665,42.76680956,9349.458333,34.74041698,0.67801593,3165.448074,0.33857021,9381,310,830,3306671504,5.000435068,274,6.574351354,2162,168.6551839,550.3323739,510,166,1996,113.3367503,593.7053445,1.396817199,3306671504,0.037517164,49620.31422,322.1063598,319421.1275,4513.679243,220.8289834,97.87535019,0.385823853,7.540618802,4.353017791,40.20227734,0.220217676,0.132535898,0.985930592,0.919208549,-0.051954383,0.619007047,0.138027303,17.06849679,0.001598132,9.773835134,0.514400649,0.004257174,34.13699359,5.757145928,79.67608339,6.902359678,2723.251146,0.290294334,1.257732049,351.948513,79.46249617,352.8728281,5.579042746,1511.992112,0.051503251,0.009873731,0.482376697,207.7194985,0.005175653,334.0305009,0.037148344,80.80663929,356.7651796,1.134315238,392.1468462,0.011121799,0.009907247,5.261923357,8279.208715,0.920561838,0.958508606,0.045481431,0.968646815,348.5223148,0.009619606,167.9109025,0.032173003,101.6839362,417.4797854,6.453151945,1736.413489,0.057551809,0.010617894,2517.066679,0.482289074,0.722237862,331.4869117,0.008022051,6.768303818,0.556337277,3.22225074,1.12609882,0.000656187,14754.84587,0.173506054,2.497120922
