original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
0.832426295,0.456458334,13.0139051,28.51060905,29.15475947,31.04834939,31.38470965,32.54228019,6289.208333,23.73298067,0.809150856,2036.347762,0.323784434,6315,386,3642,26574944180,7.123513705,1462,4.886649658,7928,1038.216841,1551.985115,1028,150,7778,673.5864113,2051.395994,1.521694197,26574944180,0.010084474,1799567.727,6089.873037,517764430.8,1559574.228,10831.56326,1245.114455,0.7950714,22.74814193,5.88545209,700.6204657,0.129260669,0.066497609,0.988507911,0.937095729,-0.299173402,0.993197283,0.069189873,60.75910258,0.000279939,12.28619127,0.821208912,0.001544476,121.5182052,8.136409313,3019.169428,8.353661238,2907.517815,0.460414539,0.62622892,63.6834521,2879.437981,6081.940459,2.970546318,11151.17213,0.02175656,0.005423377,0.693762998,5051.035474,0.003104593,61.68874437,0.009972216,2898.138786,6148.354399,1.063888391,6331.014319,0.005882686,0.005370542,7.258246979,5940.709713,0.960302089,0.979572447,0.021665488,0.984715143,6103.205962,0.005250161,42.07934535,0.008717494,3119.443159,6999.749741,2.464263518,10314.99565,0.017890032,0.004740774,3213.88005,0.665813145,0.84284436,6383.867129,0.00358899,8.130369859,0.764370546,0.752703581,0.070332887,0.001507853,513454.559,1.079044324,99.34462353
0.719306337,0.475140424,14.29876906,30.0937751,33.06055051,27.20294102,34.4818793,34.79942528,6510.5,21.64664314,0.804086008,2096.964999,0.322089701,6537,540,4815.6,49971462548,7.613880578,2196,4.044813575,9190,1384.15459,2150.495028,1510,182,9008,945.7815563,2764.851356,1.289397774,49971462548,0.006845841,3019774.154,11542.91207,1215648544,2859232.268,18390.57069,1582.023515,0.842052372,28.68323026,6.22493517,715.3863212,0.100336532,0.046438072,0.988504171,0.930597243,-0.341343042,0.997364301,0.048209733,85.66113743,0.000175062,12.78164097,0.854648433,0.000876829,171.3222749,8.599261029,4993.14855,8.592307928,3631.851767,0.555583871,0.397045481,44.75126205,4831.443369,11158.20147,2.2577635,18188.04482,0.007543411,0.002957757,0.769737945,9651.950303,0.002118653,43.8290384,0.006799885,4850.056056,11231.60575,1.043170543,11488.14359,0.003108456,0.002947675,7.705697007,6267.968454,0.972410528,0.98599687,0.014479342,0.989461674,11167.69154,0.00290959,34.04325419,0.006266014,5068.819034,12150.44579,1.759064973,16420.38561,0.005589349,0.002815712,3978.491625,0.732282648,0.879962773,11306.65847,0.002381998,8.369984601,0.83111519,0.311368355,0.035126028,0.00188457,797730.5907,1.331765163,146.0243152
0.725382757,0.419020519,12.56792204,29.99357186,29.61418579,26.30589288,32.55764119,33,5757.5,21.75681985,0.803098598,1934.362606,0.335972663,5783,504,4924.4,46958969540,7.677038101,2205,4.407432682,9910,1419.52243,2197.760678,1588,182,9728,954.3728737,2849.592001,1.359448763,46958969540,0.006436038,3290022.573,12305.60573,1652072414,3616444.511,20365.36097,1415.102382,0.870530775,26.96993752,6.15156777,663.3885043,0.104170107,0.048590296,0.991102731,0.938689486,-0.367397186,0.99831168,0.051748131,86.98411507,0.000185828,12.66195319,0.885146187,0.000865681,173.9682301,8.658778813,5445.115839,8.611421829,3232.811862,0.559019862,0.403998327,37.2196092,5264.32979,11895.1271,2.260245547,19375.46153,0.01378417,0.003892727,0.772707313,10209.37141,0.002584639,36.45119684,0.006392224,5277.844903,11970.56813,1.04281614,12249.86432,0.004144474,0.003849783,7.766329917,5545.542183,0.972461749,0.986059937,0.014287944,0.989491254,11901.02033,0.00377642,28.6161658,0.005930812,5419.07376,12859.16415,1.753989637,17362.10611,0.009528629,0.003387776,3548.743834,0.73549095,0.881763051,11894.93288,0.002844916,8.390177933,0.834342037,0.317469398,0.02615093,0.002364798,847426.3443,1.290995274,201.4555144
0.71867824,0.454354377,14.05574182,30.9356364,31.57530681,27.45906044,35.35533906,36.02776707,6834.666667,22.23276871,0.80335715,2167.972089,0.317202315,6861,456,4854,50985585856,7.588217803,2178,4.075694178,9910,1403.947845,2071.865909,1422,162,9748,956.9598606,2726.026023,1.313347004,50985585856,0.00706534,3138589.533,11384.02868,1310073113,3071917.316,19244.80847,1570.2499,0.84971209,27.77560852,6.190312125,762.5272158,0.108038213,0.052167381,0.990244622,0.937514642,-0.341401645,0.997339574,0.054034085,83.44178648,0.000188213,12.74726166,0.864720659,0.001015284,166.883573,8.602770902,5203.764593,8.636195015,3607.514794,0.525800145,0.488288047,48.47529515,5022.332805,11012.29413,2.496574843,18284.72176,0.01265764,0.003564719,0.748750587,9461.535175,0.002418212,47.25730586,0.007000039,5043.124137,11104.00907,1.049511031,11369.46022,0.003807136,0.003535296,7.694293365,6537.992154,0.968417694,0.98395614,0.016564944,0.987914809,11038.29363,0.00347231,35,0.00628592,5278.236994,12226.15409,1.922234195,16775.55388,0.008621829,0.003273471,3995.658405,0.717611064,0.871697503,11335.78726,0.002765441,8.414901698,0.811543507,0.403868492,0.041334728,0.001878579,742147.6456,1.371273045,146.1999426
0.821271576,0.577567233,14.68343496,25.42290167,29.12043956,24.51530134,27.89265136,29.47880595,5499.125,20.87910651,0.835285564,1803.757749,0.328008138,5523,396,3813.6,25265656372,7.207965049,1636,4.316672408,7942,1088.296376,1626.340395,1094,166,7776,719.6495706,2138.837407,1.401652134,25265656372,0.009368457,1929642.373,6816.208217,520667140,1584175.738,11678.8604,1134.907872,0.823548225,23.81473902,5.969352251,542.6102655,0.116768925,0.057217615,0.989009226,0.933278647,-0.315261435,0.994956994,0.05956083,64.64242636,0.000252946,12.33307421,0.837393328,0.001264056,129.2848527,8.223815563,3203.442068,8.30462715,2766.052689,0.500824314,0.502771532,51.74198805,3088.021513,6637.876879,2.604562738,12268.11009,0.02272565,0.005664589,0.727069675,5495.202441,0.003523085,50.42467488,0.00929056,3097.97239,6687.726335,1.053596822,6889.817536,0.006107789,0.005599321,7.320231314,5243.448519,0.966031757,0.982701709,0.017974467,0.986973116,6637.429786,0.005479312,36.94588449,0.00840061,3216.528793,7318.439063,2.020691223,10799.0814,0.014977572,0.004999759,3034.673943,0.690012265,0.856877184,6664.436541,0.004028239,8.087677837,0.796306355,0.44366238,0.061051956,0.001908376,448146.5582,1.147232085,106.7574705
0.84671378,0.517587056,14.20635354,27.4472736,27.45906044,29.15475947,31.06444913,31.55946768,6490.916667,23.23998477,0.838719753,2006.340356,0.309099694,6516,458,4462,40502000212,7.453416011,2146.5,3.21357328,7534,1281.391434,1944.290669,1347,170,7364,927.6098862,2493.145921,1.071854271,40502000212,0.007722597,2435510.377,9350.517182,626577535.3,1678988.661,15035.55786,1196.496664,0.85319419,24.61261581,6.020336863,566.7883668,0.11585764,0.057007317,0.987151826,0.928025948,-0.330990058,0.996510148,0.060578619,76.74429656,0.000228,12.55552577,0.874431048,0.001213333,153.4885931,8.418887097,4058.01363,8.517008322,3353.428177,0.514645208,0.519789696,50.32044199,3896.404289,9123.143953,2.584100675,15469.31799,0.009317257,0.003189563,0.740447082,7764.917565,0.002257359,48.84068184,0.007623466,3908.81089,9201.956779,1.052190454,9434.749906,0.003375352,0.003179986,7.565156445,6196.617194,0.967182509,0.983201114,0.017637776,0.987415921,9144.203392,0.003132723,34.51307002,0.006585207,4034.849803,10160.32379,2.007250525,14093.08872,0.00678966,0.00308678,3726.520702,0.71103238,0.86815016,9371.424582,0.002624725,8.313122714,0.804327808,0.461519827,0.053218424,0.001964929,461621.3356,1.401711618,91.13335188
0.725622445,0.414260262,12.85243089,31.02501508,32.06243908,26.68332813,34.98571137,35.21363372,6331.708333,22.51244729,0.801815409,2064.224812,0.326013882,6357,326,1974,8933377396,6.36452349,822,4.37327957,4456,528.5834362,975.7196791,766,130,4326,359.2436788,1185.445889,1.299082478,8933377396,0.015516024,453253.0641,1895.603014,25739505.04,153037.6111,2614.356803,371.8485914,0.751484649,13.99945037,5.23905721,171.0799288,0.159659824,0.086587023,0.988392964,0.929698633,-0.197232298,0.958191092,0.089166346,36.5326049,0.000478985,11.59713886,0.771566977,0.002011137,73.06520981,7.328970668,746.5513486,7.847668691,2452.003933,0.385717152,0.831760524,98.63536259,725.0980154,1918.720623,3.742173981,4510.141419,0.027913503,0.005977155,0.618994786,1456.943676,0.00328706,94.80741141,0.015329756,730.4960573,1943.034977,1.085921924,2031.973346,0.006592702,0.005930976,6.541763004,5860.142489,0.947466441,0.972846408,0.029129233,0.979606011,1921.278099,0.00577713,59.05866426,0.013325511,790.5901138,2259.752031,3.130640794,4178.353565,0.023516963,0.00538241,2646.725632,0.597185386,0.801095691,1978.533976,0.004126928,7.613939337,0.697184206,1.073306245,0.181512824,0.00148835,95876.35492,0.58222995,22.96061387
0.877381853,0.482803006,13.20237159,27.34525559,27.20294102,31.25699922,31.04834939,32.26453161,6187.458333,23.99223104,0.815723001,1998.095651,0.322926724,6213,362,3223.6,21172004468,7.000778808,1558,3.947152886,7496,940.9136952,1434.8479,978,166,7330,667.6697829,1845.994113,1.232115629,21172004468,0.010802026,1348905.77,4817.308586,213517622.1,756800.5424,8034.40272,912.9792916,0.7965161,20.9455681,5.800476751,460.1731,0.131971329,0.068079206,0.990018398,0.937493542,-0.281402429,0.990452383,0.071202624,55.10251326,0.000325801,12.16926211,0.829469906,0.001580576,110.2050265,7.976920003,2236.845503,8.2190941,2852.978754,0.459195035,0.657383473,67.11298889,2158.306115,4853.257846,3.022533398,8435.345405,0.025147499,0.006518147,0.692425938,4112.013249,0.003938494,64.69157345,0.010632067,2171.547826,4912.885981,1.064639701,5043.506444,0.007049842,0.00646717,7.140446921,5839.703988,0.959703592,0.979311369,0.021820155,0.984475485,4880.976747,0.006330317,41.92891795,0.008843897,2316.71116,5672.568445,2.387049146,8035.909935,0.018175904,0.005896847,3147.825564,0.663958145,0.8416735,5225.426222,0.004634866,8.039515324,0.763077418,0.669683399,0.087686638,0.001647075,317476.4663,1.09623949,59.91220782
0.704712116,0.424244963,12.62809164,29.76603791,30.41381265,27.20294102,31.38470965,35,5607.208333,20.97648755,0.803284323,1900.112412,0.338869594,5633,450,4067.6,29033897252,7.282922872,1882,3.524226593,6822,1160.028541,1762.271969,1198,174,6648,813.5438948,2270.297611,1.187269839,29033897252,0.008873019,2048648.751,7810.052619,480736157.5,1431964.162,12513.64027,1085.72873,0.840996383,23.87868002,5.969986048,491.8477724,0.115777264,0.056712225,0.98568422,0.922996655,-0.32416312,0.995780551,0.060094867,70.36003503,0.000250079,12.3785368,0.853921864,0.001281551,140.7200701,8.288039665,3399.84225,8.351841678,2872.621161,0.509962926,0.472573161,49.98171489,3277.41379,7503.013847,2.52245695,13571.03479,0.01093842,0.003336014,0.733950651,6226.56323,0.002131487,48.63757728,0.008780137,3286.476435,7556.502202,1.051350602,7777.22894,0.003559757,0.003310511,7.392261835,5359.019091,0.96737753,0.983394557,0.017212602,0.987503187,7501.604226,0.003250133,34.95790873,0.007744331,3379.700495,8226.315463,1.988701817,12128.28423,0.007687474,0.003011438,3145.44218,0.696819269,0.860684683,7497.062276,0.002416856,8.148421494,0.801349192,0.431458796,0.065401898,0.002018511,376968.0072,1.320979859,87.82767843
0.90399216,0.502936968,12.82182698,25.49390438,27.45906044,26.68332813,28.65309756,29.08607914,5393,23.04628969,0.833393012,1784.519166,0.330895451,5416,332,2441,11006072180,6.626551257,1076.5,4.471019455,5656,689.3735652,1129.371861,802,150,5506,468.9306834,1425.531605,1.362054721,11006072180,0.013619311,756659.5574,2600.011075,68123310.36,317104.5055,4183.155346,858.8894008,0.660779675,18.636177,5.589605802,491.159496,0.150709823,0.082148952,0.984609403,0.928976136,-0.246767958,0.980720872,0.084775805,42.05284311,0.000437873,11.7469979,0.72861297,0.002340729,84.10568621,7.591402878,1260.511187,8.021954523,2223.503693,0.410543518,0.96559772,73.76218612,1210.512862,2786.145495,3.757754801,5741.228213,0.090725301,0.010773167,0.649446571,2241.452539,0.005216945,70.94083764,0.013445181,1219.717392,2826.156454,1.081837308,2929.047925,0.01238428,0.010467379,6.791899285,5014.606265,0.950324944,0.974193273,0.027986371,0.980733586,2801.016267,0.010063132,45.26700767,0.01157724,1326.079193,3312.001023,3.439386189,5375.361637,0.123986103,0.008140678,2483.749361,0.635230016,0.824614336,2981.901125,0.006297636,7.744469553,0.721935007,1.520700676,0.149285244,0.00143844,201733.0268,0.937569247,35.56534945
