original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
0.831269665,0.275055402,10.79720254,39.25464642,40.11234224,39.01281841,42.72001873,43.15089802,9970.583333,32.63119678,0.714760284,3134.277347,0.314352455,10002,350.4,1114,5806996808,5.485341548,396,4.940621806,2874,241.8497553,695.5392921,638,194,2680,165.8318821,761.9603429,1.145736845,5806996808,0.026308536,96808.65717,567.393764,983271.3637,9964.946119,453.1023449,178.5825556,0.435313293,10.15884874,4.777703045,74.39571987,0.192889856,0.113587366,0.985521409,0.918572068,-0.068201171,0.715220852,0.10182394,22.33007526,0.000899679,10.65845713,0.478077906,0.003137206,44.66015052,6.313611137,157.9212251,7.470186773,2756.283343,0.27557322,1.358718978,263.1379724,155.0060552,610.565187,6.086582683,2999.211058,0.051214975,0.008028111,0.449637679,317.2641594,0.003685064,249.5778626,0.026130863,156.5169562,616.0274353,1.166567827,699.9934867,0.009372567,0.008020502,5.746939317,8800.530682,0.917495553,0.954832111,0.058543488,0.965632726,598.8776501,0.007737928,130.3499354,0.024045367,176.7325892,688.1047777,6.067884154,3000.682715,0.05072727,0.008108282,2336.541044,0.43101661,0.681637414,502.7869766,0.005680413,7.292121905,0.541991602,2.663685577,0.855422968,0.000651166,25726.92084,0.314500008,3.033296467
0.913853426,0.416463723,14.58108131,35.01164807,36.05551275,38.11823711,38.48376281,38.74274126,11782.91667,31.99551453,0.801217505,3125.375711,0.265246356,11815,414,1558,12503297148,6.048190559,608,4.438882667,3658,369.3041433,915.6473974,806,198,3460,256.3416524,1028.715807,1.127940444,12503297148,0.018042888,219846.056,1216.974176,5419390.46,39592.0266,1146.708244,274.0705902,0.61442018,12.52452275,5.075173583,115.6820111,0.169354023,0.09546061,0.9867355,0.922142967,-0.108023596,0.849494753,0.085629731,31.60085906,0.00051321,11.50264879,0.63172003,0.002201944,63.20171812,6.928815192,355.1947086,7.893661322,3645.259331,0.308528086,1.135390809,213.1767245,351.958141,1260.95895,5.11341515,5212.44689,0.025437965,0.004911717,0.502798884,699.7707986,0.002560014,203.7790889,0.017934557,354.1079761,1269.880993,1.138476603,1417.850206,0.005580818,0.004914696,6.272463037,10605.22795,0.929969764,0.961750057,0.048644782,0.971070594,1240.082629,0.004774383,118.9640583,0.016833743,379.3925175,1370.176595,4.559643413,4821.594453,0.022078666,0.005033146,3349.119711,0.47390968,0.715174179,1020.36921,0.003701769,7.643778146,0.59813796,1.764543934,0.443589061,0.00066906,61416.5828,0.416214849,6.082631817
0.887013319,0.315774164,11.3362587,35.89989294,34.13209633,39.11521443,39.56008089,39.89987469,9354.791667,31.84368319,0.73818266,2908.54887,0.310915408,9386,362,1142,5789996552,5.541597338,416,4.67571269,2642,248.3018195,718.53697,666,194,2448,172.4727902,785.4144328,1.051174254,5789996552,0.025061399,100580.454,609.2810108,922921.1532,8872.621832,460.277874,189.8441362,0.416253931,10.48742136,4.820206094,78.95859802,0.187075631,0.108423621,0.981946473,0.909715977,-0.069891308,0.725069756,0.099821607,23.27123612,0.000824331,10.74238199,0.493412721,0.002763065,46.54247223,6.349836093,162.5305026,7.452240121,2730.761773,0.290939886,1.180321063,235.2262945,161.0365096,656.6515022,5.526741956,3051.61059,0.042311568,0.007848457,0.46912866,349.8447878,0.003813597,224.2527149,0.024932347,162.5090091,661.3969397,1.151041395,745.4877219,0.00900545,0.007860637,5.784275416,8339.8117,0.923461169,0.958276648,0.052126517,0.968139007,643.8158539,0.00761851,122.5440258,0.023204701,183.6575993,729.0096573,5.394432873,2985.813482,0.040806116,0.00811994,2347.311683,0.444482424,0.69220347,537.664477,0.005716625,7.270646044,0.562646495,2.23558461,0.706834471,0.000698324,28996.94606,0.308676691,3.405041963
0.886337917,0.284937175,10.17809711,35.72049567,37.05401463,38.05259518,40.49691346,40.5092582,8148.791667,31.66042972,0.700318663,2796.300888,0.34315528,8180,462,1854,12459790384,6.339647406,728,6.123114996,5410,452.3184573,1083.397066,958,198,5212,305.5748384,1234.180602,1.398194635,12459790384,0.014835666,349452.5558,1815.732999,18139757.76,97942.14405,1794.046958,362.7763525,0.662381004,14.41918906,5.264372133,152.278857,0.156116396,0.086578712,0.992037613,0.938434283,-0.149135424,0.918457533,0.074378361,38.18069172,0.000411412,11.75256137,0.811900314,0.001832187,76.36138344,7.207116484,539.2058277,8.09424622,2629.87066,0.321500081,1.053748483,121.3557457,559.3454165,1917.745477,4.784596577,7798.226895,0.014449446,0.003441165,0.523500108,1110.117671,0.001986725,116.4038585,0.01475919,563.4209221,1929.050057,1.132056549,2146.25661,0.003853492,0.003459703,6.544194514,7403.17442,0.934950593,0.964171525,0.046542326,0.97292214,1885.031968,0.003379316,70.47717842,0.013925544,615.4987629,2078.270302,4.143449911,6806.604228,0.012944353,0.003688611,2492.847461,0.492560257,0.729178141,1590.734557,0.002844262,7.821593099,0.618704156,1.531084453,0.178689856,0.001005871,126169.9027,0.460507772,18.25921995
0.778491722,0.307530427,13.29484581,43.2309933,39.81205847,45.09988914,47.16990566,48.19751031,13940.25,33.65497041,0.736496685,3803.298128,0.272828545,13976,470,2670,40041179040,6.927595236,1244,4.347168099,6166,720.3548613,1431.869204,1226,202,5964,514.5429839,1692.6298,1.11857456,40041179040,0.009799693,814746.2199,3726.90771,84651671.05,312570.1222,4595.708582,631.9790551,0.758282365,18.62904114,5.630348552,278.372257,0.139076006,0.076514489,0.989444092,0.931344894,-0.181650513,0.956646645,0.062389916,52.30031439,0.000238683,12.66596354,0.775215275,0.001179893,104.6006288,7.877156958,1306.921909,8.647269191,4627.027762,0.331069531,0.951873565,136.9605037,1303.841982,3782.850172,4.542215226,14221.80309,0.037858306,0.007027725,0.527476528,2196.802567,0.003722524,131.613655,0.009752624,1308.554106,3806.30592,1.132444708,4232.173711,0.00796283,0.007003919,7.120265651,12727.99131,0.938185301,0.965583858,0.046282535,0.973598094,3723.019363,0.00679046,81.12591241,0.009252499,1363.603502,4084.710766,3.767335766,12319.86633,0.028232982,0.006963222,4263.194571,0.486222009,0.724073773,3092.056951,0.005202321,8.403646288,0.627361191,1.226569576,0.154091765,0.000737195,264347.6278,0.710968993,21.00396331
0.786576665,0.292446629,10.95734002,37.46782814,33.13608305,38.11823711,41.14608122,41.23105626,8728.25,29.47131929,0.73823697,2776.982347,0.318160267,8758,418,1270,6764563576,5.672261686,456,3.669860701,2742,267.0280189,812.5576616,762,174,2568,188.3937128,878.8553908,0.78465177,6764563576,0.022625267,112136.8445,859.2211135,847962.2407,6875.717964,508.2342959,213.4026422,0.40891334,11.22656211,4.909527772,86.53702399,0.177431336,0.100652914,0.981566077,0.908030157,-0.071473148,0.738025321,0.091250575,28.02516433,0.000689272,10.96969921,0.435525118,0.002513362,56.05032867,6.462677576,180.4092345,7.510380269,2670.361498,0.304905401,1.077986233,198.1520895,179.4269416,909.6976479,5.152317881,4167.176524,0.017923072,0.003769739,0.484490145,483.4748924,0.00197836,189.4985563,0.022518897,180.8203086,914.0651866,1.139444673,1027.775318,0.004256257,0.003785157,5.901946976,7832.67459,0.927517061,0.960827024,0.04791272,0.970040524,889.9951064,0.003681933,108.0950421,0.021182646,201.1404835,976.898883,4.73446992,3853.656281,0.016643159,0.004019554,2301.285322,0.450967141,0.696714703,716.6116061,0.002925501,7.326984045,0.582667276,1.788971832,0.610810159,0.000765999,25475.69905,0.408859228,2.627625374
0.988807919,0.369079652,12.85756498,34.83682968,38.63935817,37.21558813,38.32753579,39.5347948,11133.45833,34.44693308,0.764963253,3152.077911,0.283117592,11165,398,1502,11080921460,5.992822133,588,4.346675254,3290,352.6982186,890.4503359,798,210,3080,247.0045812,996.2276118,1.076882135,11080921460,0.018438458,199567.6539,1064.456027,4002803.742,30222.49404,1016.718796,271.4902775,0.578809501,12.44550665,5.0605865,114.7000774,0.171122277,0.097267486,0.983491087,0.913975831,-0.103004235,0.835279329,0.086356221,29.62930067,0.000534044,11.42824709,0.60074479,0.001996603,59.25860134,6.869579882,322.0522685,7.846524079,3403.528437,0.30483909,1.123173005,205.8653829,319.5563558,1111.60197,5.222301836,4793.558083,0.036587127,0.008111579,0.484955683,596.6850461,0.004413368,196.692178,0.01834091,321.7011871,1119.054578,1.145255333,1256.959419,0.009176533,0.00816157,6.220494386,9997.077703,0.927882486,0.960591133,0.050144343,0.96973419,1090.794966,0.007951184,112.6341351,0.017256647,348.7990766,1211.828099,4.698176804,4421.110158,0.03272998,0.008874396,2939.270875,0.450324939,0.695990906,882.1491728,0.006577829,7.63526403,0.584594716,1.772069627,0.496486069,0.000693033,52462.0994,0.430305227,5.252334673
0.837458156,0.292124466,11.34115802,38.82303378,36.49657518,42.10700654,42.57933771,43.22036557,10330.20833,32.51266627,0.720336102,3184.356356,0.308256741,10363,366,1154,6492039308,5.550272086,424,3.939969003,2374,250.8747707,725.2631477,674,202,2172,175.4246718,791.4943541,0.936974318,6492039308,0.024806752,100456.6791,577.043197,790712.6583,7776.670625,459.6260642,189.2905995,0.416989455,10.52631728,4.823865212,77.45460621,0.188242915,0.110187873,0.976997717,0.898797234,-0.06572721,0.70851196,0.098215834,22.56811096,0.000808543,10.78636636,0.478509894,0.002654567,45.13622192,6.356549251,162.2291659,7.530432465,2904.550323,0.280280838,1.306769497,257.0723729,160.8315158,624.6492328,5.934478433,3081.697771,0.060736774,0.011458619,0.453593809,322.3740129,0.00552051,244.2607305,0.024662249,162.3776568,629.489218,1.161982332,715.4020298,0.013200925,0.011512348,5.80660395,9139.106548,0.918791717,0.955722652,0.056366884,0.966134613,611.7751357,0.01116539,130.5539543,0.022944456,182.2774598,693.5221441,5.785061511,3031.654482,0.058679903,0.012146431,2454.252724,0.431327368,0.680973498,503.5138177,0.008430595,7.321697291,0.549068802,2.468053935,0.883553724,0.000638251,25808.74096,0.339791107,2.625166772
0.631377492,0.279540396,11.80043013,42.21368461,35.51056181,37.33630941,45.22167622,45.90206967,9585.875,26.65277031,0.736330562,2963.687935,0.309172395,9617,390,1406,8539804612,5.892411087,536,4.303522627,3170,323.7965102,848.2185713,770,194,2976,227.2346661,942.332477,1.03586247,8539804612,0.019670625,168515.7526,977.4710237,2901650.966,22242.0057,844.1881927,248.467307,0.545637499,11.97051795,5.007845947,103.7934221,0.173923652,0.099058444,0.983795166,0.914332175,-0.098883727,0.824247935,0.089815914,28.78097306,0.000577775,11.26259106,0.568027381,0.002141983,57.56194612,6.762418482,273.1638749,7.751983556,2915.102943,0.303119782,1.123804183,189.172403,269.5570201,1022.821774,5.171779141,4384.146511,0.033918646,0.005977637,0.496970866,567.4971183,0.002978765,180.9679061,0.019580106,271.1895424,1029.947518,1.140368483,1150.569182,0.006860027,0.005962211,6.118621125,8613.079873,0.928352049,0.961078539,0.048567845,0.970300432,1004.584234,0.005776156,105.1468568,0.01851503,293.419573,1122.806832,4.776721254,4086.373481,0.030732521,0.005920354,2679.699771,0.471861203,0.71379212,841.2621532,0.00431916,7.491993011,0.590516793,1.909009511,0.506939541,0.000752987,43148.97011,0.424152222,4.736501299
0.840312325,0.312208603,11.02554363,35.31466945,33.37663854,38.05259518,38.47076812,38.94868419,8359.375,29.67535198,0.739032108,2695.276695,0.322425623,8389,362,1154,5268143124,5.555525695,424,4.024533573,2290,251.9089936,725.2695196,674,202,2088,176.7389711,792.4533131,0.95716023,5268143124,0.024789784,101966.3774,581.178879,832341.271,8324.167307,469.283833,189.3561312,0.425427965,10.54159664,4.821830506,77.1230268,0.18744375,0.109419056,0.975442025,0.895598017,-0.073998987,0.738266506,0.098119131,22.60673185,0.000831222,10.7503369,0.446557918,0.002786139,45.2134637,6.364474222,164.659991,7.508383478,2366.436882,0.282088077,1.287845721,207.9614972,163.1772564,626.8558827,5.839194183,3105.161759,0.068720283,0.012662053,0.460428372,321.9852893,0.006015799,197.7546483,0.024645924,164.651185,631.1830153,1.160836256,718.3217748,0.014643847,0.012692203,5.805208244,7417.548223,0.920136745,0.956408117,0.055562339,0.966506957,613.2186403,0.012297103,107.3640652,0.02301974,183.1623175,687.2341338,5.504931389,3013.114065,0.061587179,0.013066228,2040.127787,0.437420195,0.686503175,496.2749158,0.009015572,7.288365105,0.555966146,2.269715214,0.796708548,0.000783507,22642.07248,0.383614868,2.712414643
