original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
0.908199973,0.270859324,10.64360649,39.2956991,42.57933771,42.01190308,43.26661531,45.04442252,10719.58333,35.68835288,0.675629969,3479.849722,0.324625465,10754,406,1150,6886153320,5.490012888,396,3.984200014,2714,236.87557,742.4191929,690,202,2512,165.6444059,800.208809,0.901373837,6886153320,0.026116012,89147.88007,580.405163,572989.0137,6018.243677,395.7146314,187.2491344,0.358222473,10.51872075,4.81571679,75.84555356,0.186980582,0.108948948,0.982749428,0.9108334,-0.056542156,0.665559603,0.096913776,22.98268996,0.000876395,10.71540831,0.410576581,0.003275313,45.96537992,6.261627784,145.7409415,7.461218309,3030.59085,0.281810568,1.279937323,280.8515901,142.7851239,636.3074205,5.854937698,3215.241213,0.042919527,0.00843792,0.456518129,323.7529019,0.003965457,266.8697574,0.025951222,144.0845163,640.2823457,1.164789361,732.8397423,0.009716194,0.008478992,5.741545336,9515.693532,0.920410609,0.95619519,0.056994888,0.966266578,621.7244418,0.008219644,142.2686215,0.023975164,161.2003167,693.0879676,5.643073812,3125.3667,0.040247696,0.008947021,2567.135827,0.432614733,0.682537799,500.6261097,0.005951284,7.26390877,0.551794681,2.358757477,1.002875626,0.000579081,22960.45854,0.349377617,2.061466983
0.79585872,0.307918416,11.9437984,38.7888407,36.34556369,40.44749683,43.9089968,43.95452195,9954.125,30.8704371,0.699602744,3198.659516,0.321340099,9986,498,1458,10306447392,5.859027941,500,4.892623064,3330,305.1212216,936.7879031,868,242,3088,208.9390185,1015.918139,1.099370043,10306447392,0.020493441,154518.0894,1016.802214,2362711.227,19777.21862,727.8227946,280.1766511,0.444641527,12.76144018,5.093659613,116.0714846,0.164955422,0.091774164,0.983220544,0.912491151,-0.08172358,0.779271925,0.081339537,30.07875057,0.000574763,11.28514245,0.472393787,0.002138707,60.15750114,6.654764476,251.9998614,7.668593155,3162.538754,0.316697252,1.083932727,204.6475065,247.3031992,1087.432205,4.890847186,4686.266773,0.017874043,0.004468363,0.51914049,612.7414142,0.002538127,196.1077225,0.020383184,249.2539836,1092.64615,1.130837061,1216.474224,0.004986071,0.004498685,6.075607082,9002.326894,0.932454787,0.963418016,0.045202499,0.972079011,1065.511624,0.004395527,117.0342243,0.019073374,274.1585904,1164.173403,4.239895698,4048.563559,0.016239987,0.004840129,3005.315515,0.489784145,0.727185483,880.3454343,0.00363488,7.399608671,0.614460244,1.591319806,0.476846199,0.000670408,50024.21396,0.397411902,4.482370813
0.690977248,0.250279745,11.60904891,46.38429249,41.43669871,44.04543109,49.73932046,50.81338406,12498.25,32.05049079,0.700201406,3719.580405,0.297608098,12534,534,1574,14661168120,5.958712941,544,4.106894839,3326,327.0604952,997.8369236,926,230,3096,224.7036348,1081.532169,0.973752238,14661168120,0.019058752,174033.3074,1185.454513,2551861.914,20347.64259,817.0607346,317.4889031,0.440958627,13.66723262,5.185011236,129.0530182,0.158923683,0.088178225,0.981043686,0.907070718,-0.075666778,0.76194623,0.077092809,32.56356557,0.000502872,11.51401562,0.466065459,0.001982677,65.12713113,6.75786992,283.6374094,7.75847416,3990.456518,0.318370554,1.030478324,238.8823999,278.5489181,1266.616403,4.813307803,5423.985958,0.014166228,0.00361053,0.514880933,699.8892101,0.002144066,229.0598469,0.018964984,280.3208964,1271.911863,1.134148478,1427.001532,0.004027699,0.003639138,6.170883089,11326.96511,0.933740549,0.963655779,0.046657391,0.972235243,1240.941599,0.003557892,137.2645254,0.017921991,302.2267277,1338.31179,4.183313749,4815.97702,0.012794505,0.004028769,3690.024677,0.481789356,0.721093063,999.3314064,0.003137094,7.515288283,0.611057922,1.505161627,0.588443113,0.000528189,51728.49561,0.473690711,3.168703695
0.759115934,0.321111877,12.37179244,38.5279814,35.6931366,37.21558813,42.43819035,43.05810028,9968.833333,29.24720457,0.747662825,2995.995985,0.30053627,10000,534,1898.4,15913726432,6.312256574,728,4.116723928,4222,437.990194,1133.7636,1010,218,4004,304.986757,1261.496192,1.039483341,15913726432,0.01499278,305952.7425,1867.802603,9431843.536,58837.41424,1596.755152,402.4878011,0.597964534,15.23282268,5.329612306,167.4868753,0.15298644,0.085704005,0.985332134,0.918179629,-0.129324802,0.891302336,0.070561797,39.60924837,0.000415649,11.87687357,0.621685908,0.001773558,79.21849673,7.178394213,499.8107383,8.108307321,3135.696,0.3135696,1.02067456,149.9278,489.880079,1923.3354,4.976,8365.489,0.012622142,0.002835227,0.488593918,1031.045236,0.001511588,143.4903552,0.014915992,493.2913903,1933.445644,1.154008238,2197.794606,0.003230145,0.002849066,6.521189652,9033.67587,0.932481713,0.961969231,0.053770595,0.970421349,1883.743083,0.002772874,82.81778154,0.014025027,536.3287612,2066.112278,4.400338696,7666.801355,0.011217406,0.003037854,2644.872989,0.447903978,0.693458543,1504.867667,0.002209729,7.923675071,0.5905,1.532463841,0.277787596,0.000772797,92852.764,0.552528044,8.115120658
0.852093907,0.357846496,13.33481925,37.26407668,40.02499219,38.47076812,41.18252056,42.3083916,11415.125,31.7524927,0.758036157,3234.307572,0.283335274,11447,570,2502,28419721116,6.713455816,1022,3.916258353,5334,619.8314257,1369.679567,1158,222,5112,431.5984963,1575.66564,1.111946266,28419721116,0.011626473,606700.0927,3161.465046,38609777.38,191328.2018,3365.85565,605.9555803,0.695353815,18.41697051,5.60310343,259.3951257,0.138574269,0.076118933,0.986528122,0.922374324,-0.164800616,0.941371032,0.060969467,49.70628297,0.000286399,12.40990843,0.71728789,0.001408071,99.41256593,7.63038628,992.9528077,8.434922864,3779.870446,0.330206207,0.96661641,133.0882327,970.9112956,3209.258408,4.580501441,12680.25046,0.009209696,0.002144214,0.525364095,1814.264127,0.001246556,127.8347379,0.011567832,975.1740193,3224.928322,1.133126431,3604.750951,0.002403384,0.002153128,6.906496398,10416.81906,0.937498406,0.965345304,0.046019496,0.973154394,3150.281116,0.002100503,78.2586808,0.010913217,1024.936434,3409.442477,3.872402733,10865.68665,0.007738504,0.002298546,3478.738391,0.485112033,0.722660237,2542.563886,0.00177672,8.188005451,0.626452346,1.324259006,0.224775452,0.000756628,158389.8772,0.812840201,12.07194326
0.875637516,0.287503762,11.52113323,40.07298252,41.30375286,41.01219331,44.77722635,45.66180023,11509,35.08940688,0.708940036,3477.226776,0.302131095,11543,746,2254,27989597564,6.510548194,800,3.852849697,5326,476.6728553,1436.703976,1346,242,5084,334.0607852,1557.180581,0.841395872,27989597564,0.012807386,360693.0472,2918.330108,12485326.29,61092.51552,1840.122478,488.3790423,0.580870813,17.0642203,5.486095326,194.0854748,0.135686569,0.071325386,0.988835766,0.926611739,-0.121725551,0.887834704,0.060624921,50.79273781,0.000288873,12.25885528,0.616023735,0.001195678,101.5854756,7.353350783,582.12538,8.134034257,4161.895088,0.360555756,0.830722461,147.835658,577.3167373,2977.450836,4.00667071,10917.02703,0.004492525,0.001267892,0.569884585,1782.478408,0.000793204,143.0108065,0.012773486,579.2456479,2985.966454,1.11189837,3294.039544,0.001393884,0.001274075,6.682839197,10628.5041,0.945456434,0.969918499,0.039031549,0.977068752,2924.185447,0.001248802,94.94088542,0.012362094,603.8799499,3089.694401,3.236588542,9030.464714,0.003744799,0.001357159,4048.673698,0.527171054,0.754042714,2390.119527,0.001078481,7.845452518,0.6653383,0.977595198,0.202465686,0.000672347,129972.7514,0.571708241,8.215244865
0.778959666,0.233057724,8.646463743,37.10009515,34.23448554,38.05259518,41.0487515,41.38840417,6675.041667,28.89947773,0.664159018,2581.3568,0.386717706,6705,486,1282,5549067984,5.59566525,420,3.911211992,2590,248.4468584,853.4395227,814,226,2364,174.2403836,909.7260516,0.793539996,5549067984,0.024166835,99242.47006,754.0431962,615288.2845,5455.455125,416.1681372,231.5512619,0.285762434,11.78857808,4.966558953,91.50408445,0.170717515,0.09554508,0.976381845,0.896238732,-0.068849562,0.725781303,0.08517233,26.60340139,0.000751146,10.84764415,0.348025197,0.00281883,53.20680278,6.321142033,161.9298498,7.413403116,2085.386279,0.311019579,1.119590453,162.0386279,158.8021373,816.9522744,4.99940343,3650.529605,0.022510352,0.005409809,0.518054318,461.0123159,0.002998519,155.0683722,0.024021562,160.2190296,820.7796058,1.136076584,920.4172567,0.006063292,0.005441666,5.813030529,6038.088186,0.931948052,0.96270292,0.047990669,0.971802165,800.543526,0.00530924,91.39137889,0.022383389,179.3330318,872.1584619,4.334802841,3235.827823,0.01986913,0.005800488,2026.113887,0.496231665,0.732362866,667.9929369,0.004299342,7.134961088,0.608948546,1.638064533,0.533862058,0.000915484,25040.10039,0.415373287,2.784711006
0.86353383,0.30050737,11.72524251,39.01815289,38.63935817,42.19004622,43.8634244,43.87482194,11067.625,33.69349499,0.717262897,3348.436359,0.302543351,11101,578,1882,17636956660,6.253990967,692,3.547938416,3754,406.9427812,1153.553554,1066,226,3528,289.0550635,1260.464947,0.818930032,17636956660,0.015211389,258086.0805,1721.90245,5063838.089,32169.18953,1269.429485,367.1259325,0.551131506,14.72192111,5.286299207,148.6442367,0.149683611,0.080823515,0.982922902,0.911166311,-0.104425114,0.848768861,0.070047028,38.68062592,0.000383819,11.86084999,0.58379205,0.001671393,77.36125184,7.072422477,409.1388543,7.970421231,3728.369787,0.335858912,0.928667289,168.8616341,413.0114903,1831.255472,4.417529952,7201.654536,0.011381361,0.003016123,0.540877323,1061.956499,0.001803307,162.4773297,0.015140779,415.2410798,1838.89582,1.120770294,2037.138698,0.00335594,0.003032494,6.449030166,10110.3515,0.9386785,0.966621164,0.041666095,0.974479379,1797.900096,0.002969662,101.6030534,0.014362886,441.7864207,1937.750353,3.700452361,6027.649279,0.010131715,0.003224543,3561.680803,0.503488946,0.737260623,1475.646264,0.002518033,7.707226297,0.637239888,1.237851118,0.350708875,0.00066263,75842.95264,0.558702598,5.203581181
0.797722023,0.328126381,13.41264682,40.87646588,43.73785546,38.32753579,45.22167622,45.89117562,12717.875,32.60805706,0.738664575,3567.083054,0.280477914,12753,510,1298,11241877668,5.630429372,420,3.967504535,2934,251.1431748,883.4133145,846,194,2740,174.9515361,938.8868312,0.759752649,11241877668,0.023554429,101089.3975,920.4479498,622134.5623,5190.011505,423.2688915,231.5074672,0.293263746,11.79316653,4.967061733,91.6140378,0.170629803,0.095577104,0.982366639,0.909077977,-0.049344727,0.638189345,0.084444989,29.53743801,0.000697122,11.00565201,0.366751817,0.002408448,59.07487602,6.350291332,163.6940897,7.499160843,3912.272485,0.306772719,1.165250017,300.3896338,161.7118303,994.1698424,5.191954834,4643.930997,0.012584333,0.00273572,0.500050368,533.6684793,0.001508929,287.0800723,0.023416385,163.3192703,998.339504,1.143336103,1127.775371,0.003097296,0.002749982,5.85767082,11447.39119,0.929640365,0.961282112,0.050074737,0.970502945,971.9420659,0.002679756,165.4825313,0.021817077,184.08465,1052.651417,4.569413316,4141.025709,0.011364186,0.002941268,3578.122742,0.471736683,0.713543764,778.3148956,0.00222027,7.259718442,0.594762017,1.742493116,0.708730758,0.000486384,34407.59203,0.329905778,2.127873496
0.85513299,0.279206911,13.24926542,47.45321437,46.87216658,52.03844733,53.15072906,53.40411969,18304.58333,40.57880908,0.69820493,4810.694505,0.262813658,18344,822,3086,74532105632,7.025620794,1228,3.244691878,5426,714.1875125,1811.748147,1630,230,5196,509.4619077,2015.694332,0.81486395,74532105632,0.008989412,780592.2924,5330.855434,53684022.86,197659.1379,4294.786521,737.4530849,0.707116681,20.77883506,5.763022586,297.9835226,0.125224867,0.067142125,0.9840822,0.914433337,-0.150680216,0.933886368,0.051365358,66.63680328,0.000184722,13.0392536,0.720904478,0.000990054,133.2736066,7.929733334,1258.059901,8.707744104,6348.035543,0.346055143,0.915713239,164.9017662,1248.874033,5343.311164,4.293501962,20814.88563,0.004355176,0.001096646,0.550499843,3070.786204,0.000601294,159.0035611,0.00895607,1252.661023,5358.844608,1.126333777,5989.293669,0.001228894,0.001098525,7.205142114,16825.86326,0.942453695,0.967773994,0.044033181,0.9751414,5238.110757,0.00107192,102.6565078,0.008642575,1294.192701,5519.57577,3.487960936,17496.40327,0.003578456,0.001113801,6046.18589,0.5090239,0.741101813,4175.176807,0.000806356,8.421643269,0.647514174,1.102889224,0.181061661,0.000508095,251843.7952,0.833610005,9.950152662
