original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
0.918469126,0.468252267,15.87465381,33.90192623,36.87817783,37.36308338,37.10795063,39.6484552,12031.95833,31.13787254,0.817427874,3106.410851,0.258179987,12063,445.4,3416.6,43012264383,6.962888665,1284,4.400807755,6645,923.9515402,1466.169195,999,199,6446,599.2332692,1888.289114,1.45417798,43012264383,0.0114357,1415983.669,5051.480535,289214058.7,1050830.473,8668.795437,715.7685854,0.848021996,18.56304108,5.623269034,354.4418037,0.141468326,0.074428142,0.989904353,0.937155643,-0.23621047,0.981050082,0.079285505,55.33760131,0.000310118,12.42884467,0.861356893,0.001471703,110.6752026,7.967919768,2346.141006,8.288569859,5237.851529,0.434208035,0.691564773,137.9488519,2265.665624,4987.013761,3.207245296,9637.407693,0.014267159,0.003605265,0.669514919,4070.13414,0.002174904,132.8703658,0.011268599,2280.838,5047.246771,1.070825517,5214.983711,0.003911143,0.00358146,7.118881871,11276.5475,0.956285926,0.977458089,0.024034223,0.983117674,5006.796582,0.003503601,84.46782842,0.009435638,2452.292884,5832.302055,2.633713137,9026.111819,0.011217306,0.003312135,5767.740393,0.644296291,0.830020037,5278.959525,0.00263172,8.109558215,0.742103954,0.817902697,0.13145891,0.001016859,279125.1084,0.778814454,47.41351286
0.618660954,0.322680306,12.08264365,37.44462686,34.71310992,30.2654919,38.58756276,43.01162634,7423.458333,23.16552858,0.752867334,2444.386373,0.329278655,7452,563,5390.6,75615724596,7.660973422,2106.5,6.779488726,13749,1625.251198,2288.853999,1407,219,13530,965.6799053,3185.441516,1.941000371,75615724596,0.007422815,4908185.025,14520.51637,5481151217,9236745.778,29203.24163,1695.394491,0.889764012,27.48332898,6.156525358,896.808027,0.11239051,0.054565813,0.994451066,0.954224341,-0.354511675,0.997855565,0.055955811,87.42333645,0.000200259,12.70293512,0.912000595,0.000984098,174.8466729,8.614117383,7724.659031,8.733940153,3830.279656,0.513993513,0.525342366,55.31481481,7853.489465,14922.90969,2.594739667,22810.81924,0.009218054,0.002733104,0.739969041,13175.11437,0.001887442,53.77957058,0.007340517,7907.140896,15081.75453,1.052448028,15375.43213,0.002912739,0.002716473,7.775952236,7085.505569,0.967073684,0.983133077,0.017744607,0.987368437,15008.74103,0.002670348,38.2855472,0.006396917,8529.529321,17072.84812,2.007017544,22007.97744,0.006438556,0.002572472,4257.871178,0.711423756,0.868213478,16040.75329,0.002187929,8.549797888,0.803140097,0.456711704,0.021926279,0.001919781,1481908.458,1.139327883,390.1107669
0.85031697,0.541499068,13.35663405,24.66603332,25.07987241,27.20294102,27.45906044,28.65309756,4886.208333,20.9739467,0.832516559,1672.653167,0.342321296,4910,409,3500,17809194390,6.893077543,1281.5,4.652751757,7015,968.7540676,1430.736049,912,213,6802,608.8557262,1904.501816,1.551849711,17809194390,0.012570547,1580121.525,5121.78019,364887381.8,1281407.09,9703.734279,956.5027707,0.821521835,20.82623272,5.774042679,504.1322434,0.137399864,0.072619608,0.988091449,0.9340526,-0.311292583,0.993574577,0.075275985,54.16302908,0.000391645,11.85622734,0.844877661,0.002081364,108.3260582,7.919325504,2665.059262,8.149786899,2167.142566,0.441373231,0.735593265,61.72138493,2528.7736,5003.846232,3.24114053,8786.471487,0.030564249,0.007129022,0.679526137,4256.527067,0.003991529,59.34483461,0.012363624,2550.106516,5074.019408,1.070449331,5209.446053,0.007775671,0.007059355,7.043204119,4591.655328,0.956563576,0.977581075,0.023978173,0.983236494,5040.875737,0.006889165,37.19189997,0.010109242,2787.252678,5973.285947,2.587116064,8419.474042,0.022888831,0.006213098,2428.710791,0.660155148,0.839121349,5519.012782,0.004679791,7.981596866,0.749287169,0.805954116,0.076139668,0.002090313,306268.072,1.041978372,102.8884481
0.633615106,0.333890622,9.432173328,28.24929093,26.07680962,23.53720459,30.52867504,31.54362059,3383.666667,17.89917746,0.762409428,1429.620987,0.422506449,3406,399,1191,2220774326,5.499017385,433.5,3.906805242,2547,250.6439239,745.0780975,679,219,2328,179.2772445,807.4765005,0.930796313,2220774326,0.025962267,96876.92755,646.873516,813955.8126,8396.661012,478.3578091,152.8408792,0.516433341,9.583874729,4.657791817,58.91522668,0.186993376,0.104529564,0.983674082,0.912257544,-0.119767092,0.851428995,0.107012957,23.77495126,0.000950799,10.42157959,0.580711998,0.003407853,47.54990252,6.334751389,157.7996721,7.122142067,1177.664709,0.345761805,0.850039083,88.42748092,155.2112976,653.4864944,4.197886083,2388.823547,0.024199251,0.006930547,0.549435392,393.2050213,0.004455927,85.08630648,0.025803996,156.4007448,656.6941587,1.101381983,713.3357624,0.007527934,0.006980265,5.697029797,3094.02513,0.938137948,0.96808799,0.033979798,0.975831119,643.3097927,0.006848277,52.14823313,0.023932186,174.8038953,700.4947223,3.677833869,2178.245525,0.021641763,0.007800873,1120.527306,0.514239241,0.744968694,547.6973641,0.00634824,6.912857495,0.639753376,1.234544942,0.322406739,0.002111136,16904.28383,0.355400458,6.50139496
0.887342032,0.395827409,8.328829666,21.04156883,20.88061302,23.02172887,23.2594067,24.18677324,2332.583333,18.67106844,0.782575447,1086.882723,0.465956653,2351,315,891,903415199,5.071864908,320,4.036576,1699,182.9194958,575.9298171,539,191,1508,130.3280796,619.8939273,0.917654,903415199,0.034399509,52573.32685,348.0684584,202843.0373,2648.541214,242.3174692,90.9228134,0.454445596,7.388156417,4.296182497,35.34280099,0.219819237,0.131522995,0.977445202,0.898321803,-0.10623859,0.805691909,0.138377441,17.61065547,0.001585475,9.659766337,0.506293179,0.004908769,35.22131094,5.877985071,83.31007065,6.861456712,714.9957465,0.304124095,1.076554299,80.87324543,83.99982595,358.1973628,5.08847299,1491.235219,0.054252248,0.012481338,0.497049475,205.8427047,0.007143205,77.14730872,0.034130674,84.95546566,361.0360984,1.124420522,396.6113741,0.013864306,0.012565669,5.305368361,2093.004825,0.925801612,0.961423944,0.042209107,0.970830402,352.5977995,0.012263937,42.56622999,0.030979789,98.27084035,402.7911208,5.070596798,1532.762737,0.053916267,0.013888305,655.5895197,0.477139388,0.718108392,311.4780706,0.010793834,6.650587218,0.584432157,2.142861607,0.413192727,0.002910392,7319.346213,0.278336063,4.700972566
0.722988614,0.265130595,6.445221352,24.30960994,22.02271555,22.20360331,27.58622845,27.87471973,1920.666667,17.57557119,0.687717488,1086.530836,0.565705052,1940,408.8,1155,1329152084,5.517521535,398,7.547047234,3111,247.1010841,760.4536082,703,215,2896,168.8729505,827.7257639,1.502842421,1329152084,0.025951217,106840.2499,676.2215467,2163902.914,17960.2516,528.3352904,179.0276567,0.495872376,9.989009134,4.722524143,76.84241745,0.187253755,0.105551098,0.98765082,0.925441077,-0.172005358,0.92121129,0.110939797,24.2620217,0.001109708,10.1325629,0.729994481,0.003721051,48.5240434,6.310676834,176.8407368,6.986382692,710.2659794,0.366116484,0.872585822,50.34536082,170.8812137,696.8505155,3.987628866,2047.950515,0.028456715,0.007416548,0.585786722,489.5409492,0.004703615,48.52677467,0.02577175,173.1034665,703.6684159,1.093261483,747.6357923,0.008074832,0.007432524,5.696324074,1775.94606,0.943075415,0.970578906,0.031520149,0.977848233,693.1848053,0.00727967,30.70393215,0.023673039,206.3000043,798.5111796,3.392444102,1886.089437,0.025635954,0.007708437,722.6422513,0.557164419,0.775092574,679.7308814,0.006381224,6.76397614,0.668556701,1.155147785,0.147015129,0.003626082,23126.14386,0.329674754,17.14196445
0.726068763,0.456556142,13.67257057,29.94718351,28.28427125,30.41381265,33.01514804,33.55592347,6326.458333,21.74371449,0.81186079,2037.556494,0.322069061,6352,355,3630.8,24128751616,6.934414151,1540,4.164680698,6739,1039.662818,1442.878778,857,191,6548,696.3628556,1949.001537,1.41007413,24128751616,0.012604917,1716707.823,5503.617226,386569455.8,1297585.856,10486.95353,962.2228995,0.832630448,21.38591551,5.815125174,481.1405575,0.137575372,0.074172279,0.987014785,0.92994755,-0.297980883,0.992448169,0.076620942,55.8626256,0.000388035,12.0428145,0.851540312,0.002161524,111.7252512,8.001171247,2862.294108,8.220779559,2728.06864,0.429481839,0.778787617,80.06643577,2747.417898,5372.399244,3.371536524,9640.65995,0.043169804,0.007875204,0.669035425,4517.943127,0.003921243,76.61294369,0.012350702,2767.889138,5450.989564,1.074018803,5606.064676,0.008744417,0.007738689,7.092273152,5922.122398,0.95460332,0.976530711,0.025148032,0.982425943,5413.505432,0.007501776,45.62140881,0.009708748,2978.705456,6433.58821,2.774632901,9336.114918,0.034196331,0.006300851,3063.735901,0.651997425,0.834347834,5911.939848,0.004542904,8.069064796,0.739767003,0.947331914,0.083152398,0.001789093,295614.7103,0.94337674,97.97669858
0.81023794,0.437268597,12.81971658,29.31771609,32.24903099,28.16025568,32.75667871,33.04542328,6356.583333,23.75432588,0.797970943,2079.598731,0.327156685,6382,531,7870.2,1.19E+11,7.981617387,3069.5,5.594501652,15723,2409.627269,2925.356941,1491,171,15552,1471.82053,4321.710171,1.759324795,1.19E+11,0.006434188,10119465.57,29741.5241,20153832388,25614466.08,64059.1525,4460.184512,0.870826522,44.28059938,6.780099815,2324.065575,0.095296546,0.047332577,0.989199438,0.938315415,-0.42619449,0.999505497,0.047904593,121.7849094,0.000181306,12.78932816,0.885473628,0.001142644,243.5698188,9.038191168,17129.83425,8.890338878,3549.34566,0.55614943,0.673631898,41.06298966,16190.15116,28630.6838,2.632403635,147813.9975,0.00901509,0.002247931,0.772627335,25639.915,0.001337419,39.92904698,0.006354039,16049.02794,28588.60633,1.048094451,30280.04957,0.002420822,0.002215378,8.083678747,6097.523212,0.970270882,0.984632259,0.016520437,0.988594247,28278.74388,0.002165281,28.54344123,0.005402885,16655.65859,31675.56918,1.933371191,68587.31062,0.006225429,0.001841763,3965.26803,0.750571272,0.888795731,30587.19195,0.001450169,8.765196498,0.827796929,0.474044995,0.014276011,0.002033002,2926491.091,1.988400136,685.5312097
0.692096844,0.374129731,10.61844208,28.38171148,23.34523506,29.15475947,31.76476035,31.9217794,4182.666667,19.64289293,0.77492195,1620.049678,0.387324596,4205,431,1868.2,5729108541,6.263936263,736,4.01034985,3627,452.4234051,1018.518193,869,193,3434,314.3687088,1167.240976,1.124803005,5729108541,0.015835008,325072.1874,1718.965065,11527734.14,73397.37925,1801.793838,324.4297104,0.695582326,13.54825864,5.162071407,134.960898,0.154907047,0.082012823,0.984254125,0.916212979,-0.199933785,0.957927305,0.086984161,36.72765337,0.000488313,11.38643532,0.716110201,0.001844475,73.45530673,7.186931951,531.5558872,7.657925474,1736.011177,0.412844513,0.688008868,66.5862069,520.2671326,1694.09132,3.330083234,4316.118906,0.018110179,0.00461028,0.644679152,1254.406178,0.002844155,64.66826579,0.015757738,523.3022493,1707.007393,1.075761538,1795.385625,0.005009117,0.004589117,6.415983043,3913.002312,0.953379375,0.975944389,0.025654623,0.981949385,1685.756507,0.004492236,45.06227466,0.014769674,560.527074,1877.829236,2.639462471,3693.01606,0.014127851,0.004384323,1863.943297,0.610928645,0.809961032,1629.037392,0.003547395,7.362122549,0.725564804,0.739926225,0.135637021,0.002293797,58110.44213,0.53464707,20.30384528
0.786929314,0.351187495,11.21649873,31.93877599,29.61418579,34.13209633,35.4682957,35.74912586,6450.291667,25.13355907,0.765458462,2189.182989,0.339392868,6477,347,1627,6777376757,6.096790871,698,4.676409182,3859,413.2649024,880.7276517,737,185,3674,290.6699861,1022.925172,1.225103817,6777376757,0.017819446,270694.7117,1269.271508,9493668.076,62369.7502,1514.805337,253.0485527,0.714342016,11.81704589,4.983362449,109.0201507,0.172631951,0.095668928,0.989009821,0.929815849,-0.164693318,0.928274484,0.099268747,30.87550307,0.000558548,11.31651558,0.732761156,0.002087629,61.75100614,7.052626874,441.9634724,7.673488892,2343.633627,0.361839374,0.845482223,115.4165509,433.4081072,1259.937317,3.985332716,3519.115949,0.043592817,0.009018628,0.580345731,873.4716422,0.005014719,111.1430238,0.017684381,436.4686748,1273.260642,1.093945745,1349.980329,0.009981299,0.008968187,6.287715068,5923.159121,0.942336202,0.970309141,0.031556267,0.977557172,1254.479929,0.008731737,69.98983364,0.016171403,477.2113179,1448.049214,3.326016636,3193.060536,0.033821119,0.008628563,2368.955638,0.547355739,0.768479923,1210.672038,0.006616969,7.447879151,0.668210591,1.086402036,0.219351584,0.001504774,57277.9439,0.389058582,17.07365667
